#         T/K        V/dm^3  V(excl)/dm^3    alpha/K^-1        status
 2.500000E+02  2.080166E-02  2.036318E-02  1.049060E-04                                 112
 2.502500E+02  2.080220E-02  2.036318E-02  1.049183E-04                                 112
 2.505000E+02  2.080275E-02  2.036318E-02  1.049414E-04                                 112
 2.507500E+02  2.080329E-02  2.036318E-02  1.049602E-04                                 112
 2.510000E+02  2.080384E-02  2.036318E-02  1.049790E-04                                 112
 2.512500E+02  2.080439E-02  2.036318E-02  1.049978E-04                                 112
 2.515000E+02  2.080493E-02  2.036318E-02  1.050166E-04                                 112
 2.517500E+02  2.080548E-02  2.036318E-02  1.050354E-04                                 112
 2.520000E+02  2.080602E-02  2.036318E-02  1.050542E-04                                 112
 2.522500E+02  2.080657E-02  2.036318E-02  1.050730E-04                                 112
 2.525000E+02  2.080712E-02  2.036318E-02  1.050918E-04                                 112
 2.527500E+02  2.080766E-02  2.036318E-02  1.051107E-04                                 112
 2.530000E+02  2.080821E-02  2.036318E-02  1.051296E-04                                 112
 2.532500E+02  2.080876E-02  2.036318E-02  1.051484E-04                                 112
 2.535000E+02  2.080930E-02  2.036318E-02  1.051673E-04                                 112
 2.537500E+02  2.080985E-02  2.036318E-02  1.051863E-04                                 112
 2.540000E+02  2.081040E-02  2.036318E-02  1.052052E-04                                 112
 2.542500E+02  2.081095E-02  2.036318E-02  1.052242E-04                                 112
 2.545000E+02  2.081149E-02  2.036318E-02  1.052432E-04                                 112
 2.547500E+02  2.081204E-02  2.036318E-02  1.052623E-04                                 112
 2.550000E+02  2.081259E-02  2.036318E-02  1.052814E-04                                 112
 2.552500E+02  2.081314E-02  2.036318E-02  1.053005E-04                                 112
 2.555000E+02  2.081369E-02  2.036318E-02  1.053197E-04                                 112
 2.557500E+02  2.081423E-02  2.036318E-02  1.053389E-04                                 112
 2.560000E+02  2.081478E-02  2.036318E-02  1.053582E-04                                 112
 2.562500E+02  2.081533E-02  2.036318E-02  1.053775E-04                                 112
 2.565000E+02  2.081588E-02  2.036318E-02  1.053968E-04                                 112
 2.567500E+02  2.081643E-02  2.036318E-02  1.054163E-04                                 112
 2.570000E+02  2.081698E-02  2.036318E-02  1.054357E-04                                 112
 2.572500E+02  2.081752E-02  2.036318E-02  1.054553E-04                                 112
 2.575000E+02  2.081807E-02  2.036318E-02  1.054749E-04                                 112
 2.577500E+02  2.081862E-02  2.036318E-02  1.054945E-04                                 112
 2.580000E+02  2.081917E-02  2.036318E-02  1.055143E-04                                 112
 2.582500E+02  2.081972E-02  2.036318E-02  1.055341E-04                                 112
 2.585000E+02  2.082027E-02  2.036318E-02  1.055540E-04                                 112
 2.587500E+02  2.082082E-02  2.036318E-02  1.055739E-04                                 112
 2.590000E+02  2.082137E-02  2.036318E-02  1.055940E-04                                 112
 2.592500E+02  2.082192E-02  2.036318E-02  1.056141E-04                                 112
 2.595000E+02  2.082247E-02  2.036318E-02  1.056343E-04                                 112
 2.597500E+02  2.082302E-02  2.036318E-02  1.056545E-04                                 112
 2.600000E+02  2.082357E-02  2.036318E-02  1.056749E-04                                 112
 2.602500E+02  2.082412E-02  2.036318E-02  1.056954E-04                                 112
 2.605000E+02  2.082467E-02  2.036318E-02  1.057159E-04                                 112
 2.607500E+02  2.082522E-02  2.036318E-02  1.057366E-04                                 112
 2.610000E+02  2.082577E-02  2.036318E-02  1.057573E-04                                 112
 2.612500E+02  2.082632E-02  2.036318E-02  1.057782E-04                                 112
 2.615000E+02  2.082687E-02  2.036318E-02  1.057991E-04                                 112
 2.617500E+02  2.082742E-02  2.036318E-02  1.058202E-04                                 112
 2.620000E+02  2.082797E-02  2.036318E-02  1.058414E-04                                 112
 2.622500E+02  2.082852E-02  2.036318E-02  1.058626E-04                                 112
 2.625000E+02  2.082908E-02  2.036318E-02  1.058840E-04                                 112
 2.627500E+02  2.082963E-02  2.036318E-02  1.059056E-04                                 112
 2.630000E+02  2.083018E-02  2.036318E-02  1.059272E-04                                 112
 2.632500E+02  2.083073E-02  2.036318E-02  1.059489E-04                                 112
 2.635000E+02  2.083128E-02  2.036318E-02  1.059708E-04                                 112
 2.637500E+02  2.083183E-02  2.036318E-02  1.059928E-04                                 112
