#         T/K            w1            w2            w3            w5            d1            d2          d1w1         d1w2A         d1w2B          d1w3          d1w4          d2w1          d2w2
 2.500000E+02  1.794086E-02  1.376570E-03  3.844012E-04  8.136722E+00  5.482302E-01  2.419554E-02  5.975315E-01  8.724146E-03  1.944815E-01  4.412303E-01  5.487536E-01  1.518554E-01  5.199682E-04
 2.502500E+02  1.814144E-02  1.399455E-03  3.891937E-04  8.137713E+00  5.497567E-01  2.415900E-02  5.987892E-01  8.790501E-03  1.948007E-01  4.410438E-01  5.469294E-01  1.512788E-01  5.184195E-04
 2.505000E+02  1.834392E-02  1.422679E-03  3.940369E-04  8.138702E+00  5.512815E-01  2.412227E-02  6.000438E-01  8.857182E-03  1.951186E-01  4.408549E-01  5.451112E-01  1.507033E-01  5.168709E-04
 2.507500E+02  1.854825E-02  1.446242E-03  3.989306E-04  8.139686E+00  5.528036E-01  2.408537E-02  6.012947E-01  8.924189E-03  1.954353E-01  4.406640E-01  5.432997E-01  1.501293E-01  5.153238E-04
 2.510000E+02  1.875444E-02  1.470148E-03  4.038752E-04  8.140666E+00  5.543231E-01  2.404831E-02  6.025420E-01  8.991521E-03  1.957507E-01  4.404711E-01  5.414949E-01  1.495567E-01  5.137781E-04
 2.512500E+02  1.896252E-02  1.494403E-03  4.088711E-04  8.141642E+00  5.558399E-01  2.401108E-02  6.037856E-01  9.059180E-03  1.960648E-01  4.402762E-01  5.396967E-01  1.489856E-01  5.122339E-04
 2.515000E+02  1.917249E-02  1.519009E-03  4.139188E-04  8.142615E+00  5.573540E-01  2.397369E-02  6.050254E-01  9.127166E-03  1.963776E-01  4.400793E-01  5.379053E-01  1.484160E-01  5.106913E-04
 2.517500E+02  1.938436E-02  1.543972E-03  4.190186E-04  8.143583E+00  5.588654E-01  2.393614E-02  6.062616E-01  9.195479E-03  1.966892E-01  4.398804E-01  5.361205E-01  1.478478E-01  5.091503E-04
 2.520000E+02  1.959815E-02  1.569296E-03  4.241710E-04  8.144548E+00  5.603741E-01  2.389843E-02  6.074941E-01  9.264119E-03  1.969995E-01  4.396796E-01  5.343423E-01  1.472811E-01  5.076109E-04
 2.522500E+02  1.981387E-02  1.594985E-03  4.293764E-04  8.145509E+00  5.618801E-01  2.386057E-02  6.087229E-01  9.333088E-03  1.973085E-01  4.394769E-01  5.325707E-01  1.467160E-01  5.060732E-04
 2.525000E+02  2.003153E-02  1.621044E-03  4.346353E-04  8.146465E+00  5.633833E-01  2.382256E-02  6.099480E-01  9.402385E-03  1.976163E-01  4.392722E-01  5.308057E-01  1.461523E-01  5.045372E-04
 2.527500E+02  2.025115E-02  1.647478E-03  4.399480E-04  8.147418E+00  5.648838E-01  2.378440E-02  6.111694E-01  9.472011E-03  1.979228E-01  4.390657E-01  5.290473E-01  1.455901E-01  5.030029E-04
 2.530000E+02  2.047274E-02  1.674290E-03  4.453151E-04  8.148367E+00  5.663815E-01  2.374609E-02  6.123871E-01  9.541966E-03  1.982281E-01  4.388572E-01  5.272954E-01  1.450295E-01  5.014705E-04
 2.532500E+02  2.069631E-02  1.701487E-03  4.507369E-04  8.149312E+00  5.678764E-01  2.370764E-02  6.136011E-01  9.612251E-03  1.985321E-01  4.386469E-01  5.255500E-01  1.444703E-01  4.999398E-04
 2.535000E+02  2.092188E-02  1.729071E-03  4.562138E-04  8.150254E+00  5.693685E-01  2.366904E-02  6.148114E-01  9.682866E-03  1.988348E-01  4.384347E-01  5.238111E-01  1.439127E-01  4.984110E-04
 2.537500E+02  2.114946E-02  1.757049E-03  4.617464E-04  8.151191E+00  5.708579E-01  2.363031E-02  6.160179E-01  9.753811E-03  1.991363E-01  4.382207E-01  5.220788E-01  1.433567E-01  4.968842E-04
 2.540000E+02  2.137907E-02  1.785425E-03  4.673351E-04  8.152124E+00  5.723444E-01  2.359144E-02  6.172208E-01  9.825088E-03  1.994365E-01  4.380049E-01  5.203528E-01  1.428021E-01  4.953593E-04
 2.542500E+02  2.161071E-02  1.814203E-03  4.729803E-04  8.153054E+00  5.738280E-01  2.355243E-02  6.184199E-01  9.896695E-03  1.997354E-01  4.377872E-01  5.186334E-01  1.422492E-01  4.938363E-04
 2.545000E+02  2.184440E-02  1.843389E-03  4.786824E-04  8.153979E+00  5.753089E-01  2.351329E-02  6.196153E-01  9.968634E-03  2.000331E-01  4.375678E-01  5.169203E-01  1.416977E-01  4.923154E-04
 2.547500E+02  2.208016E-02  1.872987E-03  4.844420E-04  8.154901E+00  5.767869E-01  2.347402E-02  6.208070E-01  1.004091E-02  2.003296E-01  4.373466E-01  5.152137E-01  1.411478E-01  4.907965E-04
 2.550000E+02  2.231799E-02  1.903003E-03  4.902594E-04  8.155819E+00  5.782620E-01  2.343462E-02  6.219950E-01  1.011351E-02  2.006248E-01  4.371236E-01  5.135134E-01  1.405995E-01  4.892797E-04
