#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.500000E+02  2.726582E+01  2.726793E+01  7.690024E+01
 2.502500E+02  2.727550E+01  2.727761E+01  7.693895E+01
 2.505000E+02  2.728519E+01  2.728729E+01  7.697763E+01
 2.507500E+02  2.729488E+01  2.729698E+01  7.701629E+01
 2.510000E+02  2.730457E+01  2.730668E+01  7.705493E+01
 2.512500E+02  2.731426E+01  2.731637E+01  7.709354E+01
 2.515000E+02  2.732396E+01  2.732607E+01  7.713213E+01
 2.517500E+02  2.733367E+01  2.733577E+01  7.717069E+01
 2.520000E+02  2.734337E+01  2.734548E+01  7.720922E+01
 2.522500E+02  2.735308E+01  2.735519E+01  7.724774E+01
 2.525000E+02  2.736280E+01  2.736490E+01  7.728623E+01
 2.527500E+02  2.737251E+01  2.737462E+01  7.732469E+01
 2.530000E+02  2.738223E+01  2.738434E+01  7.736313E+01
 2.532500E+02  2.739196E+01  2.739407E+01  7.740155E+01
 2.535000E+02  2.740169E+01  2.740379E+01  7.743994E+01
 2.537500E+02  2.741142E+01  2.741353E+01  7.747831E+01
 2.540000E+02  2.742115E+01  2.742326E+01  7.751666E+01
 2.542500E+02  2.743089E+01  2.743300E+01  7.755498E+01
 2.545000E+02  2.744063E+01  2.744274E+01  7.759328E+01
 2.547500E+02  2.745038E+01  2.745249E+01  7.763155E+01
 2.550000E+02  2.746013E+01  2.746224E+01  7.766980E+01
 2.552500E+02  2.746988E+01  2.747199E+01  7.770803E+01
 2.555000E+02  2.747964E+01  2.748175E+01  7.774624E+01
 2.557500E+02  2.748940E+01  2.749151E+01  7.778442E+01
 2.560000E+02  2.749916E+01  2.750127E+01  7.782258E+01
 2.562500E+02  2.750893E+01  2.751104E+01  7.786071E+01
 2.565000E+02  2.751870E+01  2.752081E+01  7.789883E+01
 2.567500E+02  2.752848E+01  2.753058E+01  7.793692E+01
 2.570000E+02  2.753825E+01  2.754036E+01  7.797499E+01
 2.572500E+02  2.754804E+01  2.755015E+01  7.801303E+01
 2.575000E+02  2.755782E+01  2.755993E+01  7.805105E+01
 2.577500E+02  2.756761E+01  2.756972E+01  7.808905E+01
 2.580000E+02  2.757741E+01  2.757951E+01  7.812703E+01
 2.582500E+02  2.758720E+01  2.758931E+01  7.816498E+01
 2.585000E+02  2.759700E+01  2.759911E+01  7.820292E+01
 2.587500E+02  2.760681E+01  2.760892E+01  7.824083E+01
 2.590000E+02  2.761662E+01  2.761873E+01  7.827871E+01
 2.592500E+02  2.762643E+01  2.762854E+01  7.831658E+01
 2.595000E+02  2.763624E+01  2.763835E+01  7.835443E+01
 2.597500E+02  2.764606E+01  2.764817E+01  7.839225E+01
 2.600000E+02  2.765589E+01  2.765800E+01  7.843005E+01
 2.602500E+02  2.766571E+01  2.766782E+01  7.846783E+01
 2.605000E+02  2.767554E+01  2.767765E+01  7.850558E+01
 2.607500E+02  2.768538E+01  2.768749E+01  7.854332E+01
 2.610000E+02  2.769522E+01  2.769733E+01  7.858103E+01
 2.612500E+02  2.770506E+01  2.770717E+01  7.861873E+01
 2.615000E+02  2.771491E+01  2.771702E+01  7.865640E+01
 2.617500E+02  2.772476E+01  2.772687E+01  7.869405E+01
 2.620000E+02  2.773461E+01  2.773672E+01  7.873168E+01
 2.622500E+02  2.774447E+01  2.774658E+01  7.876928E+01
 2.625000E+02  2.775433E+01  2.775644E+01  7.880687E+01
 2.627500E+02  2.776420E+01  2.776631E+01  7.884444E+01
 2.630000E+02  2.777407E+01  2.777618E+01  7.888198E+01
 2.632500E+02  2.778394E+01  2.778605E+01  7.891951E+01
 2.635000E+02  2.779382E+01  2.779593E+01  7.895701E+01
 2.637500E+02  2.780370E+01  2.780581E+01  7.899450E+01
 2.640000E+02  2.781358E+01  2.781570E+01  7.903196E+01
 2.642500E+02  2.782347E+01  2.782558E+01  7.906940E+01
 2.645000E+02  2.783337E+01  2.783548E+01  7.910682E+01
 2.647500E+02  2.784326E+01  2.784538E+01  7.914423E+01
 2.650000E+02  2.785317E+01  2.785528E+01  7.918161E+01
 2.652500E+02  2.786307E+01  2.786518E+01  7.921897E+01
 2.655000E+02  2.787298E+01  2.787509E+01  7.925631E+01
 2.657500E+02  2.788290E+01  2.788501E+01  7.929363E+01
 2.660000E+02  2.789281E+01  2.789492E+01  7.933094E+01
 2.662500E+02  2.790273E+01  2.790485E+01  7.936822E+01
 2.665000E+02  2.791266E+01  2.791477E+01  7.940548E+01
 2.667500E+02  2.792259E+01  2.792470E+01  7.944273E+01
 2.670000E+02  2.793252E+01  2.793464E+01  7.947995E+01
 2.672500E+02  2.794246E+01  2.794457E+01  7.951716E+01
 2.675000E+02  2.795241E+01  2.795452E+01  7.955434E+01
 2.677500E+02  2.796235E+01  2.796446E+01  7.959151E+01
 2.680000E+02  2.797230E+01  2.797441E+01  7.962866E+01
 2.682500E+02  2.798226E+01  2.798437E+01  7.966578E+01
 2.685000E+02  2.799222E+01  2.799433E+01  7.970289E+01
 2.687500E+02  2.800218E+01  2.800429E+01  7.973999E+01
 2.690000E+02  2.801215E+01  2.801426E+01  7.977706E+01
 2.692500E+02  2.802212E+01  2.802423E+01  7.981411E+01
 2.695000E+02  2.803210E+01  2.803421E+01  7.985115E+01
 2.697500E+02  2.804208E+01  2.804419E+01  7.988816E+01
 2.700000E+02  2.805206E+01  2.805417E+01  7.992516E+01
 2.702500E+02  2.806205E+01  2.806416E+01  7.996214E+01
 2.705000E+02  2.807205E+01  2.807416E+01  7.999910E+01
 2.707500E+02  2.808204E+01  2.808416E+01  8.003605E+01
 2.710000E+02  2.809205E+01  2.809416E+01  8.007297E+01
 2.712500E+02  2.810205E+01  2.810416E+01  8.010988E+01
 2.715000E+02  2.811206E+01  2.811418E+01  8.014677E+01
 2.717500E+02  2.812208E+01  2.812419E+01  8.018364E+01
 2.720000E+02  2.813210E+01  2.813421E+01  8.022050E+01
 2.722500E+02  2.814212E+01  2.814424E+01  8.025734E+01
 2.725000E+02  2.815215E+01  2.815426E+01  8.029416E+01
 2.727500E+02  2.816218E+01  2.816430E+01  8.033096E+01
 2.730000E+02  2.817222E+01  2.817434E+01  8.036775E+01
 2.732500E+02  2.818227E+01  2.818438E+01  8.040451E+01
 2.735000E+02  2.819231E+01  2.819442E+01  8.044127E+01
 2.737500E+02  2.820236E+01  2.820448E+01  8.047800E+01
 2.740000E+02  2.821242E+01  2.821453E+01  8.051472E+01
