#         T/K            w1            w2            w3            w5            d1            d2          d1w1         d1w2A         d1w2B          d1w3          d1w4          d2w1          d2w2
 2.500000E+02  3.731996E-04  5.726987E-05  2.398855E-05  8.462865E-01  1.140410E-02  1.006615E-03  2.485929E-02  5.444301E-04  1.213661E-02  3.671328E-02  5.707492E-02  9.476535E-03  4.326480E-05
 2.502500E+02  3.773819E-04  5.822350E-05  2.428826E-05  8.464118E-01  1.143615E-02  1.005121E-03  2.491227E-02  5.485853E-04  1.215685E-02  3.669873E-02  5.688668E-02  9.440793E-03  4.313707E-05
 2.505000E+02  3.816039E-04  5.919126E-05  2.459115E-05  8.465368E-01  1.146817E-02  1.003619E-03  2.496512E-02  5.527612E-04  1.217701E-02  3.668397E-02  5.669905E-02  9.405127E-03  4.300934E-05
 2.507500E+02  3.858646E-04  6.017318E-05  2.489721E-05  8.466614E-01  1.150014E-02  1.002110E-03  2.501782E-02  5.569575E-04  1.219709E-02  3.666905E-02  5.651211E-02  9.369549E-03  4.288173E-05
 2.510000E+02  3.901645E-04  6.116946E-05  2.520646E-05  8.467855E-01  1.153205E-02  1.000594E-03  2.507037E-02  5.611745E-04  1.221710E-02  3.665396E-02  5.632586E-02  9.334060E-03  4.275423E-05
 2.512500E+02  3.945036E-04  6.218026E-05  2.551894E-05  8.469093E-01  1.156391E-02  9.990714E-04  2.512277E-02  5.654120E-04  1.223702E-02  3.663870E-02  5.614030E-02  9.298660E-03  4.262685E-05
 2.515000E+02  3.988823E-04  6.320576E-05  2.583465E-05  8.470327E-01  1.159571E-02  9.975419E-04  2.517503E-02  5.696702E-04  1.225687E-02  3.662328E-02  5.595541E-02  9.263351E-03  4.249959E-05
 2.517500E+02  4.033008E-04  6.424615E-05  2.615365E-05  8.471557E-01  1.162746E-02  9.960056E-04  2.522713E-02  5.739490E-04  1.227664E-02  3.660769E-02  5.577121E-02  9.228132E-03  4.237246E-05
 2.520000E+02  4.077595E-04  6.530162E-05  2.647594E-05  8.472783E-01  1.165916E-02  9.944628E-04  2.527907E-02  5.782485E-04  1.229633E-02  3.659194E-02  5.558769E-02  9.193005E-03  4.224546E-05
 2.522500E+02  4.122586E-04  6.637234E-05  2.680155E-05  8.474005E-01  1.169080E-02  9.929134E-04  2.533087E-02  5.825687E-04  1.231594E-02  3.657603E-02  5.540485E-02  9.157968E-03  4.211859E-05
