#         T/K          A/kJ          G/kJ
 2.500000E+02  8.040759E+00  8.042866E+00
 2.502500E+02  8.021529E+00  8.023636E+00
 2.505000E+02  8.002289E+00  8.004397E+00
 2.507500E+02  7.983040E+00  7.985148E+00
 2.510000E+02  7.963781E+00  7.965889E+00
 2.512500E+02  7.944512E+00  7.946620E+00
 2.515000E+02  7.925234E+00  7.927342E+00
 2.517500E+02  7.905946E+00  7.908054E+00
 2.520000E+02  7.886648E+00  7.888757E+00
 2.522500E+02  7.867341E+00  7.869449E+00
 2.525000E+02  7.848024E+00  7.850133E+00
 2.527500E+02  7.828698E+00  7.830806E+00
 2.530000E+02  7.809362E+00  7.811470E+00
 2.532500E+02  7.790016E+00  7.792125E+00
 2.535000E+02  7.770661E+00  7.772770E+00
 2.537500E+02  7.751296E+00  7.753405E+00
 2.540000E+02  7.731922E+00  7.734030E+00
 2.542500E+02  7.712538E+00  7.714646E+00
 2.545000E+02  7.693144E+00  7.695253E+00
 2.547500E+02  7.673741E+00  7.675850E+00
 2.550000E+02  7.654328E+00  7.656437E+00
 2.552500E+02  7.634906E+00  7.637015E+00
 2.555000E+02  7.615474E+00  7.617583E+00
 2.557500E+02  7.596033E+00  7.598142E+00
 2.560000E+02  7.576582E+00  7.578691E+00
 2.562500E+02  7.557121E+00  7.559231E+00
 2.565000E+02  7.537651E+00  7.539761E+00
 2.567500E+02  7.518172E+00  7.520281E+00
 2.570000E+02  7.498683E+00  7.500792E+00
 2.572500E+02  7.479184E+00  7.481294E+00
 2.575000E+02  7.459676E+00  7.461786E+00
 2.577500E+02  7.440159E+00  7.442268E+00
 2.580000E+02  7.420632E+00  7.422741E+00
 2.582500E+02  7.401095E+00  7.403205E+00
 2.585000E+02  7.381549E+00  7.383659E+00
 2.587500E+02  7.361993E+00  7.364103E+00
 2.590000E+02  7.342428E+00  7.344538E+00
 2.592500E+02  7.322854E+00  7.324964E+00
 2.595000E+02  7.303270E+00  7.305380E+00
 2.597500E+02  7.283677E+00  7.285787E+00
 2.600000E+02  7.264074E+00  7.266184E+00
 2.602500E+02  7.244462E+00  7.246572E+00
 2.605000E+02  7.224840E+00  7.226950E+00
 2.607500E+02  7.205209E+00  7.207319E+00
 2.610000E+02  7.185568E+00  7.187678E+00
 2.612500E+02  7.165918E+00  7.168028E+00
 2.615000E+02  7.146259E+00  7.148369E+00
 2.617500E+02  7.126590E+00  7.128700E+00
 2.620000E+02  7.106911E+00  7.109022E+00
 2.622500E+02  7.087224E+00  7.089334E+00
 2.625000E+02  7.067527E+00  7.069637E+00
 2.627500E+02  7.047820E+00  7.049931E+00
 2.630000E+02  7.028104E+00  7.030215E+00
 2.632500E+02  7.008379E+00  7.010490E+00
 2.635000E+02  6.988644E+00  6.990755E+00
 2.637500E+02  6.968900E+00  6.971011E+00
 2.640000E+02  6.949147E+00  6.951258E+00
 2.642500E+02  6.929384E+00  6.931495E+00
 2.645000E+02  6.909612E+00  6.911723E+00
 2.647500E+02  6.889831E+00  6.891942E+00
 2.650000E+02  6.870040E+00  6.872151E+00
 2.652500E+02  6.850240E+00  6.852351E+00
 2.655000E+02  6.830430E+00  6.832542E+00
 2.657500E+02  6.810612E+00  6.812723E+00
 2.660000E+02  6.790784E+00  6.792895E+00
 2.662500E+02  6.770946E+00  6.773057E+00
 2.665000E+02  6.751099E+00  6.753211E+00
 2.667500E+02  6.731243E+00  6.733355E+00
 2.670000E+02  6.711378E+00  6.713489E+00
 2.672500E+02  6.691503E+00  6.693615E+00
 2.675000E+02  6.671619E+00  6.673731E+00
 2.677500E+02  6.651726E+00  6.653838E+00
 2.680000E+02  6.631823E+00  6.633935E+00
 2.682500E+02  6.611911E+00  6.614023E+00
 2.685000E+02  6.591990E+00  6.594102E+00
 2.687500E+02  6.572060E+00  6.574172E+00
 2.690000E+02  6.552120E+00  6.554232E+00
 2.692500E+02  6.532171E+00  6.534283E+00
 2.695000E+02  6.512213E+00  6.514325E+00
 2.697500E+02  6.492246E+00  6.494358E+00
 2.700000E+02  6.472269E+00  6.474381E+00
 2.702500E+02  6.452283E+00  6.454395E+00
 2.705000E+02  6.432288E+00  6.434400E+00
 2.707500E+02  6.412283E+00  6.414396E+00
 2.710000E+02  6.392270E+00  6.394382E+00
 2.712500E+02  6.372247E+00  6.374359E+00
 2.715000E+02  6.352214E+00  6.354327E+00
 2.717500E+02  6.332173E+00  6.334286E+00
 2.720000E+02  6.312123E+00  6.314235E+00
 2.722500E+02  6.292063E+00  6.294175E+00
 2.725000E+02  6.271994E+00  6.274107E+00
 2.727500E+02  6.251916E+00  6.254028E+00
 2.730000E+02  6.231828E+00  6.233941E+00
 2.732500E+02  6.211732E+00  6.213844E+00
 2.735000E+02  6.191626E+00  6.193739E+00
 2.737500E+02  6.171511E+00  6.173624E+00
 2.740000E+02  6.151387E+00  6.153500E+00
 2.742500E+02  6.131253E+00  6.133367E+00
 2.745000E+02  6.111111E+00  6.113224E+00
 2.747500E+02  6.090959E+00  6.093072E+00
 2.750000E+02  6.070798E+00  6.072912E+00
 2.752500E+02  6.050628E+00  6.052742E+00
 2.755000E+02  6.030449E+00  6.032563E+00
 2.757500E+02  6.010261E+00  6.012374E+00
 2.760000E+02  5.990063E+00  5.992177E+00
 2.762500E+02  5.969857E+00  5.971970E+00
 2.765000E+02  5.949641E+00  5.951755E+00
 2.767500E+02  5.929416E+00  5.931530E+00
 2.770000E+02  5.909182E+00  5.911296E+00
 2.772500E+02  5.888939E+00  5.891053E+00
 2.775000E+02  5.868687E+00  5.870801E+00
 2.777500E+02  5.848426E+00  5.850539E+00
 2.780000E+02  5.828155E+00  5.830269E+00
 2.782500E+02  5.807875E+00  5.809989E+00
 2.785000E+02  5.787587E+00  5.789701E+00
 2.787500E+02  5.767289E+00  5.769403E+00
 2.790000E+02  5.746982E+00  5.749096E+00
 2.792500E+02  5.726666E+00  5.728780E+00
 2.795000E+02  5.706341E+00  5.708455E+00
 2.797500E+02  5.686007E+00  5.688121E+00
 2.800000E+02  5.665663E+00  5.667778E+00
 2.802500E+02  5.645311E+00  5.647425E+00
 2.805000E+02  5.624949E+00  5.627064E+00
 2.807500E+02  5.604579E+00  5.606694E+00
 2.810000E+02  5.584199E+00  5.586314E+00
 2.812500E+02  5.563811E+00  5.565925E+00
 2.815000E+02  5.543413E+00  5.545528E+00
 2.817500E+02  5.523006E+00  5.525121E+00
 2.820000E+02  5.502590E+00  5.504705E+00
 2.822500E+02  5.482165E+00  5.484280E+00
 2.825000E+02  5.461731E+00  5.463846E+00
 2.827500E+02  5.441288E+00  5.443403E+00
 2.830000E+02  5.420836E+00  5.422951E+00
 2.832500E+02  5.400375E+00  5.402490E+00
 2.835000E+02  5.379905E+00  5.382020E+00
 2.837500E+02  5.359426E+00  5.361541E+00
 2.840000E+02  5.338938E+00  5.341053E+00
