#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.500000E+02  1.479640E+02  1.479701E+02  1.880046E+02
 2.502500E+02  1.479928E+02  1.479988E+02  1.881194E+02
 2.505000E+02  1.480216E+02  1.480276E+02  1.882346E+02
 2.507500E+02  1.480504E+02  1.480564E+02  1.883495E+02
 2.510000E+02  1.480792E+02  1.480852E+02  1.884644E+02
 2.512500E+02  1.481080E+02  1.481140E+02  1.885791E+02
 2.515000E+02  1.481368E+02  1.481429E+02  1.886938E+02
 2.517500E+02  1.481656E+02  1.481717E+02  1.888082E+02
 2.520000E+02  1.481944E+02  1.482005E+02  1.889226E+02
 2.522500E+02  1.482232E+02  1.482293E+02  1.890368E+02
 2.525000E+02  1.482520E+02  1.482580E+02  1.891509E+02
 2.527500E+02  1.482808E+02  1.482868E+02  1.892648E+02
 2.530000E+02  1.483096E+02  1.483156E+02  1.893786E+02
 2.532500E+02  1.483384E+02  1.483444E+02  1.894923E+02
 2.535000E+02  1.483671E+02  1.483732E+02  1.896058E+02
 2.537500E+02  1.483959E+02  1.484019E+02  1.897193E+02
 2.540000E+02  1.484247E+02  1.484307E+02  1.898325E+02
 2.542500E+02  1.484534E+02  1.484594E+02  1.899457E+02
 2.545000E+02  1.484822E+02  1.484882E+02  1.900587E+02
 2.547500E+02  1.485109E+02  1.485169E+02  1.901716E+02
 2.550000E+02  1.485396E+02  1.485457E+02  1.902843E+02
 2.552500E+02  1.485684E+02  1.485744E+02  1.903969E+02
 2.555000E+02  1.485971E+02  1.486031E+02  1.905094E+02
 2.557500E+02  1.486258E+02  1.486318E+02  1.906217E+02
 2.560000E+02  1.486545E+02  1.486605E+02  1.907339E+02
 2.562500E+02  1.486832E+02  1.486892E+02  1.908460E+02
 2.565000E+02  1.487119E+02  1.487179E+02  1.909579E+02
 2.567500E+02  1.487406E+02  1.487466E+02  1.910697E+02
 2.570000E+02  1.487693E+02  1.487753E+02  1.911813E+02
 2.572500E+02  1.487979E+02  1.488040E+02  1.912928E+02
 2.575000E+02  1.488266E+02  1.488326E+02  1.914042E+02
 2.577500E+02  1.488553E+02  1.488613E+02  1.915155E+02
 2.580000E+02  1.488839E+02  1.488899E+02  1.916266E+02
 2.582500E+02  1.489126E+02  1.489186E+02  1.917375E+02
 2.585000E+02  1.489412E+02  1.489472E+02  1.918484E+02
 2.587500E+02  1.489698E+02  1.489758E+02  1.919590E+02
 2.590000E+02  1.489984E+02  1.490045E+02  1.920696E+02
 2.592500E+02  1.490270E+02  1.490331E+02  1.921800E+02
 2.595000E+02  1.490556E+02  1.490617E+02  1.922903E+02
 2.597500E+02  1.490842E+02  1.490903E+02  1.924004E+02
 2.600000E+02  1.491128E+02  1.491189E+02  1.925104E+02
 2.602500E+02  1.491414E+02  1.491474E+02  1.926203E+02
 2.605000E+02  1.491700E+02  1.491760E+02  1.927300E+02
 2.607500E+02  1.491985E+02  1.492046E+02  1.928396E+02
 2.610000E+02  1.492271E+02  1.492331E+02  1.929490E+02
 2.612500E+02  1.492556E+02  1.492617E+02  1.930583E+02
 2.615000E+02  1.492842E+02  1.492902E+02  1.931675E+02
 2.617500E+02  1.493127E+02  1.493187E+02  1.932765E+02
 2.620000E+02  1.493412E+02  1.493472E+02  1.933854E+02
 2.622500E+02  1.493697E+02  1.493757E+02  1.934942E+02
 2.625000E+02  1.493982E+02  1.494042E+02  1.936028E+02
 2.627500E+02  1.494267E+02  1.494327E+02  1.937112E+02
