#         T/K            w1            w2            w3            w5            d1            d2          d1w1         d1w2A         d1w2B          d1w3          d1w4          d2w1          d2w2
 2.500000E+02  3.993175E-04  1.105853E-05  8.359292E-07  9.604423E-04  3.645878E-01  1.735252E-01  1.434248E-01  5.668546E-04  1.263651E-02  6.898377E-03  1.935366E-03  2.948106E-01  2.428972E-04
 2.502500E+02  4.048283E-04  1.129109E-05  8.514948E-07  9.697575E-04  3.654975E-01  1.730156E-01  1.439348E-01  5.729867E-04  1.269759E-02  6.929457E-03  1.941810E-03  2.937809E-01  2.426686E-04
 2.505000E+02  4.104433E-04  1.152916E-05  8.673993E-07  9.792326E-04  3.664164E-01  1.725003E-01  1.444489E-01  5.791861E-04  1.275914E-02  6.960764E-03  1.948302E-03  2.927424E-01  2.424285E-04
 2.507500E+02  4.161221E-04  1.177162E-05  8.835510E-07  9.887486E-04  3.673339E-01  1.719861E-01  1.449623E-01  5.854304E-04  1.282063E-02  6.991985E-03  1.954744E-03  2.917052E-01  2.421839E-04
 2.510000E+02  4.218652E-04  1.201854E-05  8.999529E-07  9.983048E-04  3.682500E-01  1.714729E-01  1.454749E-01  5.917197E-04  1.288208E-02  7.023118E-03  1.961137E-03  2.906692E-01  2.419348E-04
 2.512500E+02  4.276732E-04  1.226997E-05  9.166078E-07  1.007901E-03  3.691646E-01  1.709607E-01  1.459866E-01  5.980540E-04  1.294348E-02  7.054162E-03  1.967478E-03  2.896344E-01  2.416812E-04
 2.515000E+02  4.335466E-04  1.252600E-05  9.335186E-07  1.017536E-03  3.700778E-01  1.704496E-01  1.464975E-01  6.044334E-04  1.300482E-02  7.085114E-03  1.973769E-03  2.886009E-01  2.414232E-04
 2.517500E+02  4.394859E-04  1.278669E-05  9.506886E-07  1.027211E-03  3.709896E-01  1.699396E-01  1.470075E-01  6.108580E-04  1.306611E-02  7.115975E-03  1.980009E-03  2.875687E-01  2.411608E-04
 2.520000E+02  4.454918E-04  1.305211E-05  9.681205E-07  1.036924E-03  3.718998E-01  1.694306E-01  1.475167E-01  6.173278E-04  1.312734E-02  7.146741E-03  1.986198E-03  2.865379E-01  2.408940E-04
 2.522500E+02  4.515646E-04  1.332234E-05  9.858175E-07  1.046675E-03  3.728086E-01  1.689227E-01  1.480250E-01  6.238430E-04  1.318851E-02  7.177413E-03  1.992335E-03  2.855084E-01  2.406228E-04
 2.525000E+02  4.577051E-04  1.359745E-05  1.003783E-06  1.056463E-03  3.737159E-01  1.684158E-01  1.485324E-01  6.304036E-04  1.324962E-02  7.207987E-03  1.998420E-03  2.844803E-01  2.403474E-04
 2.527500E+02  4.639137E-04  1.387751E-05  1.022019E-06  1.066289E-03  3.746217E-01  1.679100E-01  1.490389E-01  6.370096E-04  1.331066E-02  7.238464E-03  2.004453E-03  2.834536E-01  2.400677E-04
 2.530000E+02  4.701910E-04  1.416260E-05  1.040530E-06  1.076152E-03  3.755259E-01  1.674053E-01  1.495445E-01  6.436613E-04  1.337164E-02  7.268841E-03  2.010433E-03  2.824283E-01  2.397838E-04
 2.532500E+02  4.765376E-04  1.445279E-05  1.059318E-06  1.086052E-03  3.764286E-01  1.669016E-01  1.500492E-01  6.503585E-04  1.343255E-02  7.299118E-03  2.016360E-03  2.814045E-01  2.394957E-04
 2.535000E+02  4.829540E-04  1.474816E-05  1.078386E-06  1.095987E-03  3.773298E-01  1.663990E-01  1.505530E-01  6.571015E-04  1.349338E-02  7.329292E-03  2.022235E-03  2.803822E-01  2.392034E-04
 2.537500E+02  4.894407E-04  1.504878E-05  1.097738E-06  1.105958E-03  3.782294E-01  1.658975E-01  1.510558E-01  6.638902E-04  1.355415E-02  7.359362E-03  2.028056E-03  2.793614E-01  2.389071E-04
 2.540000E+02  4.959984E-04  1.535474E-05  1.117378E-06  1.115963E-03  3.791274E-01  1.653971E-01  1.515576E-01  6.707247E-04  1.361484E-02  7.389328E-03  2.033824E-03  2.783421E-01  2.386067E-04
 2.542500E+02  5.026276E-04  1.566611E-05  1.137307E-06  1.126004E-03  3.800239E-01  1.648977E-01  1.520585E-01  6.776051E-04  1.367545E-02  7.419188E-03  2.039538E-03  2.773244E-01  2.383023E-04
 2.545000E+02  5.093289E-04  1.598298E-05  1.157530E-06  1.136078E-03  3.809188E-01  1.643995E-01  1.525584E-01  6.845315E-04  1.373598E-02  7.448940E-03  2.045198E-03  2.763082E-01  2.379938E-04
 2.547500E+02  5.161028E-04  1.630542E-05  1.178049E-06  1.146186E-03  3.818120E-01  1.639023E-01  1.530573E-01  6.915039E-04  1.379643E-02  7.478584E-03  2.050804E-03  2.752936E-01  2.376815E-04
 2.550000E+02  5.229500E-04  1.663352E-05  1.198868E-06  1.156328E-03  3.827037E-01  1.634062E-01  1.535552E-01  6.985223E-04  1.385680E-02  7.508117E-03  2.056355E-03  2.742807E-01  2.373652E-04
 2.552500E+02  5.298709E-04  1.696735E-05  1.219990E-06  1.166502E-03  3.835937E-01  1.629112E-01  1.540521E-01  7.055869E-04  1.391709E-02  7.537540E-03  2.061852E-03  2.732694E-01  2.370450E-04
 2.555000E+02  5.368662E-04  1.730701E-05  1.241419E-06  1.176708E-03  3.844821E-01  1.624172E-01  1.545479E-01  7.126977E-04  1.397728E-02  7.566849E-03  2.067295E-03  2.722598E-01  2.367211E-04
