#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.500000E+02  6.925964E+01  6.926191E+01
 2.502500E+02  6.929329E+01  6.929556E+01
 2.505000E+02  6.932682E+01  6.932910E+01
 2.507500E+02  6.936035E+01  6.936264E+01
 2.510000E+02  6.939389E+01  6.939618E+01
 2.512500E+02  6.942743E+01  6.942972E+01
 2.515000E+02  6.946098E+01  6.946327E+01
 2.517500E+02  6.949454E+01  6.949683E+01
 2.520000E+02  6.952810E+01  6.953039E+01
 2.522500E+02  6.956167E+01  6.956396E+01
 2.525000E+02  6.959524E+01  6.959753E+01
 2.527500E+02  6.962882E+01  6.963111E+01
 2.530000E+02  6.966240E+01  6.966470E+01
 2.532500E+02  6.969599E+01  6.969829E+01
 2.535000E+02  6.972959E+01  6.973189E+01
 2.537500E+02  6.976319E+01  6.976549E+01
 2.540000E+02  6.979680E+01  6.979911E+01
 2.542500E+02  6.983042E+01  6.983273E+01
 2.545000E+02  6.986405E+01  6.986635E+01
 2.547500E+02  6.989768E+01  6.989999E+01
 2.550000E+02  6.993132E+01  6.993363E+01
 2.552500E+02  6.996496E+01  6.996727E+01
 2.555000E+02  6.999862E+01  7.000093E+01
 2.557500E+02  7.003228E+01  7.003459E+01
 2.560000E+02  7.006595E+01  7.006827E+01
 2.562500E+02  7.009963E+01  7.010195E+01
 2.565000E+02  7.013332E+01  7.013563E+01
 2.567500E+02  7.016701E+01  7.016933E+01
 2.570000E+02  7.020072E+01  7.020303E+01
 2.572500E+02  7.023443E+01  7.023675E+01
 2.575000E+02  7.026815E+01  7.027047E+01
 2.577500E+02  7.030188E+01  7.030420E+01
 2.580000E+02  7.033562E+01  7.033794E+01
 2.582500E+02  7.036937E+01  7.037169E+01
 2.585000E+02  7.040313E+01  7.040545E+01
 2.587500E+02  7.043689E+01  7.043922E+01
 2.590000E+02  7.047067E+01  7.047300E+01
 2.592500E+02  7.050446E+01  7.050678E+01
 2.595000E+02  7.053825E+01  7.054058E+01
 2.597500E+02  7.057206E+01  7.057439E+01
 2.600000E+02  7.060588E+01  7.060820E+01
 2.602500E+02  7.063970E+01  7.064203E+01
 2.605000E+02  7.067354E+01  7.067587E+01
 2.607500E+02  7.070738E+01  7.070972E+01
 2.610000E+02  7.074124E+01  7.074357E+01
 2.612500E+02  7.077511E+01  7.077744E+01
 2.615000E+02  7.080899E+01  7.081132E+01
 2.617500E+02  7.084288E+01  7.084521E+01
 2.620000E+02  7.087678E+01  7.087911E+01
 2.622500E+02  7.091069E+01  7.091302E+01
 2.625000E+02  7.094461E+01  7.094695E+01
 2.627500E+02  7.097854E+01  7.098088E+01
 2.630000E+02  7.101249E+01  7.101483E+01
 2.632500E+02  7.104644E+01  7.104878E+01
 2.635000E+02  7.108041E+01  7.108275E+01
 2.637500E+02  7.111439E+01  7.111673E+01
 2.640000E+02  7.114838E+01  7.115072E+01
 2.642500E+02  7.118238E+01  7.118472E+01
 2.645000E+02  7.121640E+01  7.121874E+01
 2.647500E+02  7.125042E+01  7.125276E+01
 2.650000E+02  7.128446E+01  7.128680E+01
 2.652500E+02  7.131851E+01  7.132085E+01
