#         T/K            w1            w2            w3            w5            d1            d2          d1w1         d1w2A         d1w2B          d1w3          d1w4          d2w1          d2w2
 2.500000E+02  6.730613E-03  9.319741E-05  4.696610E-06  3.237707E-03  6.145233E+00  1.462409E+00  1.208733E+00  3.184833E-03  7.099735E-02  2.906854E-02  6.524233E-03  1.656373E+00  1.023526E-03
 2.502500E+02  6.822856E-03  9.514837E-05  4.783613E-06  3.268801E-03  6.159986E+00  1.457977E+00  1.212917E+00  3.218982E-03  7.133382E-02  2.919675E-02  6.545337E-03  1.650432E+00  1.022466E-03
 2.505000E+02  6.916832E-03  9.714533E-05  4.872500E-06  3.300425E-03  6.174886E+00  1.453497E+00  1.217134E+00  3.253501E-03  7.167276E-02  2.932588E-02  6.566596E-03  1.644442E+00  1.021358E-03
 2.507500E+02  7.011865E-03  9.917887E-05  4.962759E-06  3.332182E-03  6.189760E+00  1.449026E+00  1.221344E+00  3.288265E-03  7.201137E-02  2.945461E-02  6.587684E-03  1.638460E+00  1.020230E-03
 2.510000E+02  7.107964E-03  1.012495E-04  5.054405E-06  3.364067E-03  6.204607E+00  1.444565E+00  1.225546E+00  3.323275E-03  7.234964E-02  2.958295E-02  6.608598E-03  1.632485E+00  1.019084E-03
 2.512500E+02  7.205137E-03  1.033579E-04  5.147454E-06  3.396081E-03  6.219426E+00  1.440113E+00  1.229740E+00  3.358531E-03  7.268755E-02  2.971089E-02  6.629338E-03  1.626519E+00  1.017919E-03
 2.515000E+02  7.303393E-03  1.055046E-04  5.241923E-06  3.428221E-03  6.234218E+00  1.435671E+00  1.233926E+00  3.394033E-03  7.302510E-02  2.983842E-02  6.649903E-03  1.620561E+00  1.016735E-03
 2.517500E+02  7.402741E-03  1.076901E-04  5.337828E-06  3.460486E-03  6.248982E+00  1.431239E+00  1.238104E+00  3.429782E-03  7.336226E-02  2.996553E-02  6.670291E-03  1.614611E+00  1.015533E-03
 2.520000E+02  7.503189E-03  1.099150E-04  5.435185E-06  3.492874E-03  6.263718E+00  1.426816E+00  1.242274E+00  3.465778E-03  7.369902E-02  3.009222E-02  6.690502E-03  1.608670E+00  1.014313E-03
 2.522500E+02  7.604746E-03  1.121800E-04  5.534012E-06  3.525384E-03  6.278426E+00  1.422403E+00  1.246436E+00  3.502022E-03  7.403539E-02  3.021849E-02  6.710535E-03  1.602738E+00  1.013075E-03
