#         T/K          A/kJ          G/kJ
 2.500000E+02  7.895133E+01  7.895645E+01
 2.502500E+02  7.891060E+01  7.891571E+01
 2.505000E+02  7.886983E+01  7.887495E+01
 2.507500E+02  7.882905E+01  7.883416E+01
 2.510000E+02  7.878823E+01  7.879335E+01
 2.512500E+02  7.874740E+01  7.875251E+01
 2.515000E+02  7.870653E+01  7.871165E+01
 2.517500E+02  7.866564E+01  7.867076E+01
 2.520000E+02  7.862473E+01  7.862985E+01
 2.522500E+02  7.858379E+01  7.858891E+01
 2.525000E+02  7.854282E+01  7.854794E+01
 2.527500E+02  7.850183E+01  7.850695E+01
 2.530000E+02  7.846082E+01  7.846594E+01
 2.532500E+02  7.841978E+01  7.842490E+01
 2.535000E+02  7.837871E+01  7.838383E+01
 2.537500E+02  7.833762E+01  7.834274E+01
 2.540000E+02  7.829650E+01  7.830162E+01
 2.542500E+02  7.825536E+01  7.826048E+01
 2.545000E+02  7.821420E+01  7.821932E+01
 2.547500E+02  7.817300E+01  7.817813E+01
 2.550000E+02  7.813179E+01  7.813691E+01
 2.552500E+02  7.809055E+01  7.809567E+01
 2.555000E+02  7.804928E+01  7.805440E+01
 2.557500E+02  7.800799E+01  7.801311E+01
 2.560000E+02  7.796667E+01  7.797180E+01
 2.562500E+02  7.792533E+01  7.793045E+01
 2.565000E+02  7.788396E+01  7.788909E+01
 2.567500E+02  7.784257E+01  7.784770E+01
 2.570000E+02  7.780116E+01  7.780628E+01
 2.572500E+02  7.775972E+01  7.776484E+01
 2.575000E+02  7.771825E+01  7.772338E+01
 2.577500E+02  7.767676E+01  7.768189E+01
 2.580000E+02  7.763525E+01  7.764037E+01
 2.582500E+02  7.759371E+01  7.759884E+01
 2.585000E+02  7.755214E+01  7.755727E+01
 2.587500E+02  7.751056E+01  7.751568E+01
 2.590000E+02  7.746894E+01  7.747407E+01
 2.592500E+02  7.742731E+01  7.743243E+01
 2.595000E+02  7.738564E+01  7.739077E+01
 2.597500E+02  7.734396E+01  7.734909E+01
 2.600000E+02  7.730225E+01  7.730738E+01
 2.602500E+02  7.726051E+01  7.726564E+01
 2.605000E+02  7.721875E+01  7.722388E+01
 2.607500E+02  7.717697E+01  7.718210E+01
 2.610000E+02  7.713516E+01  7.714029E+01
 2.612500E+02  7.709332E+01  7.709846E+01
 2.615000E+02  7.705147E+01  7.705660E+01
