#         T/K            w1            w2            w3            w5            d1            d2          d1w1         d1w2A         d1w2B          d1w3          d1w4          d2w1          d2w2
 2.500000E+02  1.305837E-02  4.283828E-04  5.114538E-05  1.979005E-01  4.152006E+00  8.152058E-01  1.934834E+00  1.207796E-02  2.692459E-01  2.611704E-01  1.388749E-01  2.187511E+00  3.202466E-03
 2.502500E+02  1.321732E-02  4.360223E-04  5.185534E-05  1.982833E-01  4.164773E+00  8.138172E-01  1.939871E+00  1.217841E-02  2.698779E-01  2.612983E-01  1.385684E-01  2.179234E+00  3.193635E-03
 2.505000E+02  1.337909E-02  4.438165E-04  5.257699E-05  1.986728E-01  4.177688E+00  8.124020E-01  1.944947E+00  1.227955E-02  2.705115E-01  2.614236E-01  1.382600E-01  2.170890E+00  3.184633E-03
 2.507500E+02  1.354250E-02  4.517341E-04  5.330713E-05  1.990616E-01  4.190586E+00  8.109818E-01  1.950012E+00  1.238125E-02  2.711433E-01  2.615468E-01  1.379518E-01  2.162565E+00  3.175630E-03
 2.510000E+02  1.370757E-02  4.597765E-04  5.404583E-05  1.994498E-01  4.203469E+00  8.095566E-01  1.955066E+00  1.248351E-02  2.717733E-01  2.616678E-01  1.376438E-01  2.154259E+00  3.166628E-03
 2.512500E+02  1.387431E-02  4.679456E-04  5.479318E-05  1.998374E-01  4.216335E+00  8.081265E-01  1.960110E+00  1.258633E-02  2.724016E-01  2.617867E-01  1.373360E-01  2.145973E+00  3.157626E-03
 2.515000E+02  1.404274E-02  4.762430E-04  5.554926E-05  2.002244E-01  4.229185E+00  8.066915E-01  1.965143E+00  1.268970E-02  2.730281E-01  2.619035E-01  1.370285E-01  2.137707E+00  3.148625E-03
 2.517500E+02  1.421286E-02  4.846704E-04  5.631414E-05  2.006106E-01  4.242018E+00  8.052519E-01  1.970164E+00  1.279363E-02  2.736528E-01  2.620181E-01  1.367213E-01  2.129461E+00  3.139626E-03
 2.520000E+02  1.438469E-02  4.932297E-04  5.708792E-05  2.009963E-01  4.254835E+00  8.038075E-01  1.975175E+00  1.289812E-02  2.742758E-01  2.621305E-01  1.364142E-01  2.121234E+00  3.130627E-03
 2.522500E+02  1.455824E-02  5.019224E-04  5.787066E-05  2.013812E-01  4.267634E+00  8.023586E-01  1.980174E+00  1.300318E-02  2.748970E-01  2.622409E-01  1.361075E-01  2.113028E+00  3.121631E-03
 2.525000E+02  1.473353E-02  5.107505E-04  5.866245E-05  2.017656E-01  4.280416E+00  8.009051E-01  1.985163E+00  1.310879E-02  2.755163E-01  2.623491E-01  1.358009E-01  2.104842E+00  3.112636E-03
 2.527500E+02  1.491056E-02  5.197158E-04  5.946338E-05  2.021492E-01  4.293180E+00  7.994471E-01  1.990139E+00  1.321496E-02  2.761339E-01  2.624552E-01  1.354946E-01  2.096676E+00  3.103643E-03
 2.530000E+02  1.508936E-02  5.288200E-04  6.027352E-05  2.025322E-01  4.305927E+00  7.979847E-01  1.995105E+00  1.332170E-02  2.767496E-01  2.625592E-01  1.351886E-01  2.088530E+00  3.094653E-03
 2.532500E+02  1.526993E-02  5.380649E-04  6.109296E-05  2.029144E-01  4.318656E+00  7.965180E-01  2.000059E+00  1.342900E-02  2.773635E-01  2.626610E-01  1.348828E-01  2.080405E+00  3.085666E-03
 2.535000E+02  1.545229E-02  5.474526E-04  6.192178E-05  2.032960E-01  4.331366E+00  7.950470E-01  2.005002E+00  1.353687E-02  2.779755E-01  2.627608E-01  1.345773E-01  2.072300E+00  3.076681E-03
 2.537500E+02  1.563646E-02  5.569848E-04  6.276007E-05  2.036769E-01  4.344058E+00  7.935718E-01  2.009932E+00  1.364529E-02  2.785857E-01  2.628584E-01  1.342720E-01  2.064216E+00  3.067700E-03
 2.540000E+02  1.582243E-02  5.666634E-04  6.360791E-05  2.040571E-01  4.356732E+00  7.920924E-01  2.014852E+00  1.375429E-02  2.791941E-01  2.629540E-01  1.339670E-01  2.056152E+00  3.058722E-03
 2.542500E+02  1.601024E-02  5.764904E-04  6.446539E-05  2.044366E-01  4.369387E+00  7.906090E-01  2.019759E+00  1.386385E-02  2.798006E-01  2.630474E-01  1.336623E-01  2.048109E+00  3.049748E-03
 2.545000E+02  1.619989E-02  5.864676E-04  6.533259E-05  2.048154E-01  4.382022E+00  7.891216E-01  2.024655E+00  1.397397E-02  2.804052E-01  2.631388E-01  1.333578E-01  2.040087E+00  3.040778E-03
 2.547500E+02  1.639139E-02  5.965972E-04  6.620960E-05  2.051935E-01  4.394639E+00  7.876303E-01  2.029538E+00  1.408466E-02  2.810079E-01  2.632280E-01  1.330536E-01  2.032086E+00  3.031811E-03
 2.550000E+02  1.658476E-02  6.068810E-04  6.709651E-05  2.055709E-01  4.407236E+00  7.861351E-01  2.034410E+00  1.419592E-02  2.816088E-01  2.633152E-01  1.327497E-01  2.024105E+00  3.022850E-03
 2.552500E+02  1.678001E-02  6.173210E-04  6.799340E-05  2.059475E-01  4.419814E+00  7.846361E-01  2.039270E+00  1.430774E-02  2.822078E-01  2.634003E-01  1.324460E-01  2.016146E+00  3.013893E-03
 2.555000E+02  1.697716E-02  6.279193E-04  6.890036E-05  2.063234E-01  4.432372E+00  7.831334E-01  2.044118E+00  1.442014E-02  2.828048E-01  2.634833E-01  1.321427E-01  2.008207E+00  3.004940E-03
 2.557500E+02  1.717623E-02  6.386779E-04  6.981748E-05  2.066986E-01  4.444909E+00  7.816270E-01  2.048953E+00  1.453310E-02  2.834000E-01  2.635643E-01  1.318396E-01  2.000290E+00  2.995993E-03
 2.560000E+02  1.737721E-02  6.495989E-04  7.074485E-05  2.070731E-01  4.457427E+00  7.801170E-01  2.053776E+00  1.464663E-02  2.839932E-01  2.636432E-01  1.315368E-01  1.992394E+00  2.987052E-03
 2.562500E+02  1.758014E-02  6.606843E-04  7.168255E-05  2.074468E-01  4.469924E+00  7.786034E-01  2.058587E+00  1.476073E-02  2.845845E-01  2.637200E-01  1.312343E-01  1.984519E+00  2.978115E-03
 2.565000E+02  1.778501E-02  6.719363E-04  7.263069E-05  2.078197E-01  4.482401E+00  7.770864E-01  2.063386E+00  1.487540E-02  2.851739E-01  2.637947E-01  1.309320E-01  1.976665E+00  2.969185E-03
 2.567500E+02  1.799186E-02  6.833571E-04  7.358933E-05  2.081919E-01  4.494857E+00  7.755660E-01  2.068172E+00  1.499065E-02  2.857613E-01  2.638675E-01  1.306301E-01  1.968832E+00  2.960261E-03
 2.570000E+02  1.820068E-02  6.949486E-04  7.455859E-05  2.085634E-01  4.507292E+00  7.740423E-01  2.072946E+00  1.510646E-02  2.863468E-01  2.639381E-01  1.303285E-01  1.961021E+00  2.951343E-03
 2.572500E+02  1.841150E-02  7.067133E-04  7.553854E-05  2.089340E-01  4.519706E+00  7.725153E-01  2.077707E+00  1.522284E-02  2.869303E-01  2.640068E-01  1.300271E-01  1.953232E+00  2.942432E-03
