#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.500000E+02  6.219828E+01  6.219986E+01
 2.502500E+02  6.222843E+01  6.223002E+01
 2.505000E+02  6.225847E+01  6.226006E+01
 2.507500E+02  6.228850E+01  6.229010E+01
 2.510000E+02  6.231854E+01  6.232013E+01
 2.512500E+02  6.234856E+01  6.235016E+01
 2.515000E+02  6.237858E+01  6.238018E+01
 2.517500E+02  6.240860E+01  6.241020E+01
 2.520000E+02  6.243861E+01  6.244021E+01
 2.522500E+02  6.246862E+01  6.247022E+01
 2.525000E+02  6.249862E+01  6.250023E+01
 2.527500E+02  6.252862E+01  6.253023E+01
 2.530000E+02  6.255862E+01  6.256022E+01
 2.532500E+02  6.258861E+01  6.259022E+01
 2.535000E+02  6.261860E+01  6.262021E+01
 2.537500E+02  6.264858E+01  6.265019E+01
 2.540000E+02  6.267856E+01  6.268017E+01
 2.542500E+02  6.270854E+01  6.271015E+01
 2.545000E+02  6.273852E+01  6.274013E+01
 2.547500E+02  6.276849E+01  6.277010E+01
 2.550000E+02  6.279846E+01  6.280008E+01
 2.552500E+02  6.282843E+01  6.283004E+01
 2.555000E+02  6.285840E+01  6.286001E+01
 2.557500E+02  6.288836E+01  6.288997E+01
 2.560000E+02  6.291832E+01  6.291994E+01
 2.562500E+02  6.294828E+01  6.294990E+01
 2.565000E+02  6.297824E+01  6.297985E+01
 2.567500E+02  6.300819E+01  6.300981E+01
 2.570000E+02  6.303814E+01  6.303977E+01
 2.572500E+02  6.306810E+01  6.306972E+01
 2.575000E+02  6.309805E+01  6.309967E+01
 2.577500E+02  6.312800E+01  6.312962E+01
 2.580000E+02  6.315795E+01  6.315957E+01
 2.582500E+02  6.318789E+01  6.318952E+01
 2.585000E+02  6.321784E+01  6.321947E+01
 2.587500E+02  6.324779E+01  6.324941E+01
 2.590000E+02  6.327773E+01  6.327936E+01
 2.592500E+02  6.330768E+01  6.330931E+01
 2.595000E+02  6.333762E+01  6.333925E+01
 2.597500E+02  6.336757E+01  6.336920E+01
 2.600000E+02  6.339751E+01  6.339914E+01
 2.602500E+02  6.342746E+01  6.342909E+01
 2.605000E+02  6.345740E+01  6.345903E+01
 2.607500E+02  6.348735E+01  6.348898E+01
 2.610000E+02  6.351729E+01  6.351893E+01
 2.612500E+02  6.354724E+01  6.354887E+01
 2.615000E+02  6.357719E+01  6.357882E+01
 2.617500E+02  6.360713E+01  6.360877E+01
 2.620000E+02  6.363708E+01  6.363872E+01
 2.622500E+02  6.366703E+01  6.366867E+01
 2.625000E+02  6.369698E+01  6.369862E+01
 2.627500E+02  6.372693E+01  6.372857E+01
 2.630000E+02  6.375688E+01  6.375852E+01
 2.632500E+02  6.378684E+01  6.378847E+01
 2.635000E+02  6.381679E+01  6.381843E+01
