# T/K; A/kJ
#           T           tot           vib           rot         trans          elec            mf          indi
 2.225000E+02 -7.981576E-01  6.770809E+01 -2.679713E+00 -1.397264E+01 -4.687487E+01 -1.692876E+01  1.194973E+01
 2.230000E+02 -8.213990E-01  6.769698E+01 -2.686519E+00 -1.400537E+01 -4.687485E+01 -1.692822E+01  1.197659E+01
 2.235000E+02 -8.446719E-01  6.768583E+01 -2.693327E+00 -1.403810E+01 -4.687483E+01 -1.692769E+01  1.200344E+01
 2.240000E+02 -8.679764E-01  6.767466E+01 -2.700136E+00 -1.407083E+01 -4.687481E+01 -1.692715E+01  1.203030E+01
 2.245000E+02 -8.913122E-01  6.766346E+01 -2.706948E+00 -1.410357E+01 -4.687479E+01 -1.692662E+01  1.205715E+01
 2.250000E+02 -9.146795E-01  6.765224E+01 -2.713761E+00 -1.413631E+01 -4.687477E+01 -1.692608E+01  1.208401E+01
 2.255000E+02 -9.380782E-01  6.764099E+01 -2.720576E+00 -1.416906E+01 -4.687475E+01 -1.692555E+01  1.211086E+01
 2.260000E+02 -9.615082E-01  6.762971E+01 -2.727394E+00 -1.420181E+01 -4.687472E+01 -1.692501E+01  1.213772E+01
 2.265000E+02 -9.849696E-01  6.761840E+01 -2.734213E+00 -1.423456E+01 -4.687470E+01 -1.692448E+01  1.216457E+01
 2.270000E+02 -1.008462E+00  6.760707E+01 -2.741034E+00 -1.426731E+01 -4.687467E+01 -1.692394E+01  1.219143E+01
 2.275000E+02 -1.031986E+00  6.759571E+01 -2.747857E+00 -1.430007E+01 -4.687464E+01 -1.692341E+01  1.221829E+01
 2.280000E+02 -1.055541E+00  6.758432E+01 -2.754682E+00 -1.433283E+01 -4.687462E+01 -1.692287E+01  1.224514E+01
 2.285000E+02 -1.079128E+00  6.757291E+01 -2.761508E+00 -1.436560E+01 -4.687459E+01 -1.692234E+01  1.227200E+01
 2.290000E+02 -1.102745E+00  6.756147E+01 -2.768337E+00 -1.439837E+01 -4.687456E+01 -1.692180E+01  1.229886E+01
 2.295000E+02 -1.126394E+00  6.755001E+01 -2.775168E+00 -1.443114E+01 -4.687453E+01 -1.692127E+01  1.232571E+01
 2.300000E+02 -1.150074E+00  6.753851E+01 -2.782000E+00 -1.446392E+01 -4.687450E+01 -1.692073E+01  1.235257E+01
 2.305000E+02 -1.173785E+00  6.752699E+01 -2.788835E+00 -1.449670E+01 -4.687447E+01 -1.692020E+01  1.237943E+01
 2.310000E+02 -1.197527E+00  6.751545E+01 -2.795671E+00 -1.452949E+01 -4.687443E+01 -1.691966E+01  1.240628E+01
 2.315000E+02 -1.221300E+00  6.750387E+01 -2.802510E+00 -1.456228E+01 -4.687440E+01 -1.691913E+01  1.243314E+01
 2.320000E+02 -1.245104E+00  6.749227E+01 -2.809350E+00 -1.459507E+01 -4.687436E+01 -1.691859E+01  1.246000E+01
 2.325000E+02 -1.268939E+00  6.748064E+01 -2.816192E+00 -1.462787E+01 -4.687433E+01 -1.691806E+01  1.248686E+01
 2.330000E+02 -1.292806E+00  6.746899E+01 -2.823036E+00 -1.466067E+01 -4.687429E+01 -1.691752E+01  1.251372E+01
 2.335000E+02 -1.316703E+00  6.745731E+01 -2.829883E+00 -1.469347E+01 -4.687425E+01 -1.691699E+01  1.254058E+01
 2.340000E+02 -1.340631E+00  6.744560E+01 -2.836731E+00 -1.472628E+01 -4.687421E+01 -1.691645E+01  1.256744E+01
 2.345000E+02 -1.364589E+00  6.743387E+01 -2.843581E+00 -1.475909E+01 -4.687417E+01 -1.691592E+01  1.259430E+01
