#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.500000E+02  4.828869E+01  4.828939E+01
 2.502500E+02  4.831219E+01  4.831289E+01
 2.505000E+02  4.833566E+01  4.833637E+01
 2.507500E+02  4.835913E+01  4.835983E+01
 2.510000E+02  4.838258E+01  4.838328E+01
 2.512500E+02  4.840602E+01  4.840673E+01
 2.515000E+02  4.842945E+01  4.843016E+01
 2.517500E+02  4.845287E+01  4.845358E+01
 2.520000E+02  4.847629E+01  4.847699E+01
 2.522500E+02  4.849969E+01  4.850039E+01
 2.525000E+02  4.852308E+01  4.852379E+01
 2.527500E+02  4.854646E+01  4.854717E+01
 2.530000E+02  4.856983E+01  4.857054E+01
 2.532500E+02  4.859320E+01  4.859390E+01
 2.535000E+02  4.861655E+01  4.861726E+01
 2.537500E+02  4.863989E+01  4.864060E+01
 2.540000E+02  4.866322E+01  4.866393E+01
 2.542500E+02  4.868655E+01  4.868726E+01
 2.545000E+02  4.870986E+01  4.871057E+01
 2.547500E+02  4.873317E+01  4.873388E+01
 2.550000E+02  4.875647E+01  4.875718E+01
 2.552500E+02  4.877975E+01  4.878046E+01
 2.555000E+02  4.880303E+01  4.880374E+01
 2.557500E+02  4.882630E+01  4.882701E+01
 2.560000E+02  4.884956E+01  4.885027E+01
 2.562500E+02  4.887281E+01  4.887352E+01
 2.565000E+02  4.889605E+01  4.889676E+01
 2.567500E+02  4.891929E+01  4.892000E+01
 2.570000E+02  4.894251E+01  4.894322E+01
 2.572500E+02  4.896573E+01  4.896644E+01
 2.575000E+02  4.898893E+01  4.898965E+01
 2.577500E+02  4.901213E+01  4.901285E+01
 2.580000E+02  4.903532E+01  4.903604E+01
 2.582500E+02  4.905851E+01  4.905922E+01
 2.585000E+02  4.908168E+01  4.908239E+01
 2.587500E+02  4.910485E+01  4.910556E+01
 2.590000E+02  4.912800E+01  4.912872E+01
 2.592500E+02  4.915115E+01  4.915187E+01
 2.595000E+02  4.917429E+01  4.917501E+01
 2.597500E+02  4.919743E+01  4.919814E+01
 2.600000E+02  4.922055E+01  4.922127E+01
 2.602500E+02  4.924367E+01  4.924438E+01
 2.605000E+02  4.926678E+01  4.926749E+01
 2.607500E+02  4.928988E+01  4.929060E+01
 2.610000E+02  4.931297E+01  4.931369E+01
 2.612500E+02  4.933606E+01  4.933677E+01
 2.615000E+02  4.935914E+01  4.935985E+01
 2.617500E+02  4.938221E+01  4.938292E+01
 2.620000E+02  4.940527E+01  4.940599E+01
 2.622500E+02  4.942832E+01  4.942904E+01
 2.625000E+02  4.945137E+01  4.945209E+01
 2.627500E+02  4.947441E+01  4.947513E+01
 2.630000E+02  4.949745E+01  4.949817E+01
 2.632500E+02  4.952047E+01  4.952119E+01
 2.635000E+02  4.954349E+01  4.954421E+01
 2.637500E+02  4.956650E+01  4.956722E+01
 2.640000E+02  4.958951E+01  4.959023E+01
 2.642500E+02  4.961250E+01  4.961322E+01
 2.645000E+02  4.963549E+01  4.963621E+01
 2.647500E+02  4.965848E+01  4.965920E+01
 2.650000E+02  4.968145E+01  4.968217E+01
 2.652500E+02  4.970442E+01  4.970514E+01
 2.655000E+02  4.972738E+01  4.972810E+01
 2.657500E+02  4.975034E+01  4.975106E+01
 2.660000E+02  4.977329E+01  4.977401E+01
 2.662500E+02  4.979623E+01  4.979695E+01
 2.665000E+02  4.981916E+01  4.981989E+01
 2.667500E+02  4.984209E+01  4.984282E+01
 2.670000E+02  4.986501E+01  4.986574E+01
 2.672500E+02  4.988793E+01  4.988865E+01
 2.675000E+02  4.991084E+01  4.991156E+01
 2.677500E+02  4.993374E+01  4.993446E+01
 2.680000E+02  4.995664E+01  4.995736E+01
 2.682500E+02  4.997952E+01  4.998025E+01
 2.685000E+02  5.000241E+01  5.000313E+01
 2.687500E+02  5.002528E+01  5.002601E+01
 2.690000E+02  5.004815E+01  5.004888E+01
 2.692500E+02  5.007102E+01  5.007174E+01
 2.695000E+02  5.009388E+01  5.009460E+01
 2.697500E+02  5.011673E+01  5.011745E+01
 2.700000E+02  5.013957E+01  5.014030E+01
 2.702500E+02  5.016241E+01  5.016314E+01
 2.705000E+02  5.018524E+01  5.018597E+01
 2.707500E+02  5.020807E+01  5.020880E+01
 2.710000E+02  5.023089E+01  5.023162E+01
 2.712500E+02  5.025371E+01  5.025443E+01
 2.715000E+02  5.027652E+01  5.027724E+01
 2.717500E+02  5.029932E+01  5.030005E+01
 2.720000E+02  5.032212E+01  5.032284E+01
 2.722500E+02  5.034491E+01  5.034564E+01
 2.725000E+02  5.036769E+01  5.036842E+01
 2.727500E+02  5.039047E+01  5.039120E+01
 2.730000E+02  5.041325E+01  5.041398E+01
 2.732500E+02  5.043602E+01  5.043674E+01
 2.735000E+02  5.045878E+01  5.045951E+01
 2.737500E+02  5.048153E+01  5.048226E+01
 2.740000E+02  5.050429E+01  5.050501E+01
 2.742500E+02  5.052703E+01  5.052776E+01
 2.745000E+02  5.054977E+01  5.055050E+01
 2.747500E+02  5.057250E+01  5.057323E+01
 2.750000E+02  5.059523E+01  5.059596E+01
 2.752500E+02  5.061796E+01  5.061868E+01
 2.755000E+02  5.064067E+01  5.064140E+01
 2.757500E+02  5.066338E+01  5.066411E+01
 2.760000E+02  5.068609E+01  5.068682E+01
 2.762500E+02  5.070879E+01  5.070952E+01
 2.765000E+02  5.073149E+01  5.073222E+01
 2.767500E+02  5.075418E+01  5.075491E+01
 2.770000E+02  5.077686E+01  5.077759E+01
 2.772500E+02  5.079954E+01  5.080027E+01
 2.775000E+02  5.082222E+01  5.082295E+01
 2.777500E+02  5.084488E+01  5.084561E+01
 2.780000E+02  5.086755E+01  5.086828E+01
 2.782500E+02  5.089020E+01  5.089094E+01
 2.785000E+02  5.091286E+01  5.091359E+01
 2.787500E+02  5.093550E+01  5.093624E+01
 2.790000E+02  5.095815E+01  5.095888E+01
 2.792500E+02  5.098078E+01  5.098151E+01
 2.795000E+02  5.100341E+01  5.100415E+01
 2.797500E+02  5.102604E+01  5.102677E+01
 2.800000E+02  5.104866E+01  5.104939E+01
 2.802500E+02  5.107128E+01  5.107201E+01
 2.805000E+02  5.109389E+01  5.109462E+01
