#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.500000E+02  7.155478E+01  7.155837E+01  1.200804E+02
 2.502500E+02  7.157225E+01  7.157584E+01  1.201502E+02
 2.505000E+02  7.158974E+01  7.159333E+01  1.202201E+02
 2.507500E+02  7.160723E+01  7.161082E+01  1.202899E+02
 2.510000E+02  7.162473E+01  7.162831E+01  1.203596E+02
 2.512500E+02  7.164222E+01  7.164581E+01  1.204293E+02
 2.515000E+02  7.165972E+01  7.166331E+01  1.204989E+02
 2.517500E+02  7.167722E+01  7.168081E+01  1.205684E+02
 2.520000E+02  7.169472E+01  7.169831E+01  1.206379E+02
 2.522500E+02  7.171222E+01  7.171581E+01  1.207073E+02
 2.525000E+02  7.172973E+01  7.173331E+01  1.207767E+02
 2.527500E+02  7.174723E+01  7.175082E+01  1.208460E+02
 2.530000E+02  7.176474E+01  7.176832E+01  1.209152E+02
 2.532500E+02  7.178224E+01  7.178583E+01  1.209844E+02
 2.535000E+02  7.179975E+01  7.180334E+01  1.210535E+02
 2.537500E+02  7.181726E+01  7.182085E+01  1.211225E+02
 2.540000E+02  7.183478E+01  7.183836E+01  1.211915E+02
 2.542500E+02  7.185229E+01  7.185588E+01  1.212604E+02
 2.545000E+02  7.186980E+01  7.187339E+01  1.213293E+02
 2.547500E+02  7.188732E+01  7.189091E+01  1.213981E+02
 2.550000E+02  7.190484E+01  7.190842E+01  1.214668E+02
 2.552500E+02  7.192235E+01  7.192594E+01  1.215355E+02
 2.555000E+02  7.193987E+01  7.194346E+01  1.216041E+02
 2.557500E+02  7.195739E+01  7.196098E+01  1.216726E+02
 2.560000E+02  7.197491E+01  7.197850E+01  1.217411E+02
 2.562500E+02  7.199244E+01  7.199602E+01  1.218095E+02
 2.565000E+02  7.200996E+01  7.201355E+01  1.218778E+02
 2.567500E+02  7.202748E+01  7.203107E+01  1.219461E+02
 2.570000E+02  7.204501E+01  7.204860E+01  1.220143E+02
 2.572500E+02  7.206253E+01  7.206612E+01  1.220825E+02
 2.575000E+02  7.208006E+01  7.208365E+01  1.221506E+02
 2.577500E+02  7.209759E+01  7.210118E+01  1.222186E+02
 2.580000E+02  7.211512E+01  7.211871E+01  1.222866E+02
 2.582500E+02  7.213265E+01  7.213624E+01  1.223545E+02
 2.585000E+02  7.215018E+01  7.215377E+01  1.224224E+02
 2.587500E+02  7.216771E+01  7.217130E+01  1.224902E+02
 2.590000E+02  7.218524E+01  7.218883E+01  1.225579E+02
 2.592500E+02  7.220277E+01  7.220636E+01  1.226255E+02
 2.595000E+02  7.222030E+01  7.222390E+01  1.226931E+02
 2.597500E+02  7.223784E+01  7.224143E+01  1.227607E+02
 2.600000E+02  7.225537E+01  7.225896E+01  1.228281E+02
 2.602500E+02  7.227291E+01  7.227650E+01  1.228956E+02
 2.605000E+02  7.229044E+01  7.229403E+01  1.229629E+02
 2.607500E+02  7.230798E+01  7.231157E+01  1.230302E+02
 2.610000E+02  7.232552E+01  7.232911E+01  1.230974E+02
 2.612500E+02  7.234305E+01  7.234665E+01  1.231646E+02
 2.615000E+02  7.236059E+01  7.236418E+01  1.232317E+02
 2.617500E+02  7.237813E+01  7.238172E+01  1.232987E+02
 2.620000E+02  7.239567E+01  7.239926E+01  1.233657E+02
 2.622500E+02  7.241321E+01  7.241680E+01  1.234326E+02
 2.625000E+02  7.243075E+01  7.243434E+01  1.234995E+02
 2.627500E+02  7.244829E+01  7.245188E+01  1.235663E+02
 2.630000E+02  7.246583E+01  7.246942E+01  1.236330E+02
 2.632500E+02  7.248337E+01  7.248697E+01  1.236996E+02
 2.635000E+02  7.250091E+01  7.250451E+01  1.237663E+02
 2.637500E+02  7.251846E+01  7.252205E+01  1.238328E+02
 2.640000E+02  7.253600E+01  7.253959E+01  1.238993E+02
 2.642500E+02  7.255354E+01  7.255714E+01  1.239657E+02
 2.645000E+02  7.257109E+01  7.257468E+01  1.240321E+02
 2.647500E+02  7.258863E+01  7.259223E+01  1.240984E+02
 2.650000E+02  7.260617E+01  7.260977E+01  1.241646E+02
 2.652500E+02  7.262372E+01  7.262732E+01  1.242308E+02
 2.655000E+02  7.264126E+01  7.264486E+01  1.242969E+02
 2.657500E+02  7.265881E+01  7.266241E+01  1.243629E+02
 2.660000E+02  7.267636E+01  7.267995E+01  1.244289E+02
 2.662500E+02  7.269390E+01  7.269750E+01  1.244949E+02
 2.665000E+02  7.271145E+01  7.271505E+01  1.245607E+02
 2.667500E+02  7.272900E+01  7.273259E+01  1.246266E+02
 2.670000E+02  7.274654E+01  7.275014E+01  1.246923E+02
 2.672500E+02  7.276409E+01  7.276769E+01  1.247580E+02
 2.675000E+02  7.278164E+01  7.278524E+01  1.248236E+02
 2.677500E+02  7.279919E+01  7.280279E+01  1.248892E+02
 2.680000E+02  7.281674E+01  7.282034E+01  1.249547E+02
