#         T/K          A/kJ          G/kJ
 2.500000E+02  3.053600E+01  3.053912E+01
 2.502500E+02  3.050927E+01  3.051240E+01
 2.505000E+02  3.048253E+01  3.048565E+01
 2.507500E+02  3.045578E+01  3.045890E+01
 2.510000E+02  3.042901E+01  3.043213E+01
 2.512500E+02  3.040222E+01  3.040534E+01
 2.515000E+02  3.037542E+01  3.037854E+01
 2.517500E+02  3.034860E+01  3.035173E+01
 2.520000E+02  3.032177E+01  3.032490E+01
 2.522500E+02  3.029493E+01  3.029805E+01
 2.525000E+02  3.026807E+01  3.027119E+01
 2.527500E+02  3.024119E+01  3.024432E+01
 2.530000E+02  3.021430E+01  3.021743E+01
 2.532500E+02  3.018740E+01  3.019052E+01
 2.535000E+02  3.016048E+01  3.016360E+01
 2.537500E+02  3.013354E+01  3.013667E+01
 2.540000E+02  3.010659E+01  3.010972E+01
 2.542500E+02  3.007963E+01  3.008275E+01
 2.545000E+02  3.005265E+01  3.005577E+01
 2.547500E+02  3.002565E+01  3.002878E+01
 2.550000E+02  2.999865E+01  3.000177E+01
 2.552500E+02  2.997162E+01  2.997475E+01
 2.555000E+02  2.994458E+01  2.994771E+01
 2.557500E+02  2.991753E+01  2.992066E+01
 2.560000E+02  2.989046E+01  2.989359E+01
 2.562500E+02  2.986338E+01  2.986650E+01
 2.565000E+02  2.983628E+01  2.983941E+01
 2.567500E+02  2.980917E+01  2.981230E+01
 2.570000E+02  2.978204E+01  2.978517E+01
 2.572500E+02  2.975490E+01  2.975803E+01
 2.575000E+02  2.972774E+01  2.973087E+01
 2.577500E+02  2.970057E+01  2.970370E+01
 2.580000E+02  2.967339E+01  2.967651E+01
 2.582500E+02  2.964619E+01  2.964931E+01
 2.585000E+02  2.961897E+01  2.962210E+01
 2.587500E+02  2.959174E+01  2.959487E+01
 2.590000E+02  2.956450E+01  2.956763E+01
 2.592500E+02  2.953724E+01  2.954037E+01
 2.595000E+02  2.950997E+01  2.951309E+01
 2.597500E+02  2.948268E+01  2.948581E+01
 2.600000E+02  2.945538E+01  2.945850E+01
 2.602500E+02  2.942806E+01  2.943119E+01
 2.605000E+02  2.940073E+01  2.940386E+01
 2.607500E+02  2.937338E+01  2.937651E+01
 2.610000E+02  2.934602E+01  2.934915E+01
 2.612500E+02  2.931865E+01  2.932178E+01
 2.615000E+02  2.929126E+01  2.929439E+01
 2.617500E+02  2.926385E+01  2.926698E+01
 2.620000E+02  2.923643E+01  2.923956E+01
 2.622500E+02  2.920900E+01  2.921213E+01
 2.625000E+02  2.918155E+01  2.918468E+01
 2.627500E+02  2.915409E+01  2.915722E+01
 2.630000E+02  2.912662E+01  2.912975E+01
 2.632500E+02  2.909913E+01  2.910226E+01
 2.635000E+02  2.907162E+01  2.907475E+01
 2.637500E+02  2.904410E+01  2.904723E+01
 2.640000E+02  2.901657E+01  2.901970E+01
 2.642500E+02  2.898902E+01  2.899215E+01
 2.645000E+02  2.896146E+01  2.896459E+01
 2.647500E+02  2.893388E+01  2.893701E+01
 2.650000E+02  2.890629E+01  2.890942E+01
 2.652500E+02  2.887869E+01  2.888182E+01
 2.655000E+02  2.885107E+01  2.885420E+01
 2.657500E+02  2.882343E+01  2.882656E+01
 2.660000E+02  2.879579E+01  2.879892E+01
 2.662500E+02  2.876812E+01  2.877125E+01
 2.665000E+02  2.874045E+01  2.874358E+01
 2.667500E+02  2.871276E+01  2.871589E+01
 2.670000E+02  2.868505E+01  2.868818E+01
 2.672500E+02  2.865733E+01  2.866046E+01
 2.675000E+02  2.862960E+01  2.863273E+01
 2.677500E+02  2.860185E+01  2.860498E+01
 2.680000E+02  2.857409E+01  2.857722E+01
 2.682500E+02  2.854631E+01  2.854945E+01
 2.685000E+02  2.851852E+01  2.852166E+01
 2.687500E+02  2.849072E+01  2.849385E+01
 2.690000E+02  2.846290E+01  2.846604E+01
 2.692500E+02  2.843507E+01  2.843820E+01
 2.695000E+02  2.840722E+01  2.841036E+01
 2.697500E+02  2.837936E+01  2.838250E+01
 2.700000E+02  2.835149E+01  2.835462E+01
 2.702500E+02  2.832360E+01  2.832673E+01
 2.705000E+02  2.829570E+01  2.829883E+01
 2.707500E+02  2.826778E+01  2.827092E+01
 2.710000E+02  2.823985E+01  2.824298E+01
 2.712500E+02  2.821191E+01  2.821504E+01
 2.715000E+02  2.818395E+01  2.818708E+01
 2.717500E+02  2.815597E+01  2.815911E+01
 2.720000E+02  2.812799E+01  2.813112E+01
 2.722500E+02  2.809999E+01  2.810312E+01
 2.725000E+02  2.807197E+01  2.807511E+01
 2.727500E+02  2.804394E+01  2.804708E+01
 2.730000E+02  2.801590E+01  2.801904E+01
 2.732500E+02  2.798785E+01  2.799098E+01
 2.735000E+02  2.795978E+01  2.796291E+01
 2.737500E+02  2.793169E+01  2.793483E+01
 2.740000E+02  2.790359E+01  2.790673E+01
 2.742500E+02  2.787548E+01  2.787862E+01
 2.745000E+02  2.784736E+01  2.785049E+01
 2.747500E+02  2.781922E+01  2.782235E+01
 2.750000E+02  2.779106E+01  2.779420E+01
 2.752500E+02  2.776290E+01  2.776603E+01
 2.755000E+02  2.773471E+01  2.773785E+01
 2.757500E+02  2.770652E+01  2.770966E+01
 2.760000E+02  2.767831E+01  2.768145E+01
 2.762500E+02  2.765009E+01  2.765322E+01
 2.765000E+02  2.762185E+01  2.762499E+01
 2.767500E+02  2.759360E+01  2.759674E+01
 2.770000E+02  2.756534E+01  2.756847E+01
 2.772500E+02  2.753706E+01  2.754020E+01
 2.775000E+02  2.750877E+01  2.751191E+01
 2.777500E+02  2.748046E+01  2.748360E+01
 2.780000E+02  2.745214E+01  2.745528E+01
 2.782500E+02  2.742381E+01  2.742695E+01
 2.785000E+02  2.739547E+01  2.739860E+01
 2.787500E+02  2.736711E+01  2.737024E+01
 2.790000E+02  2.733873E+01  2.734187E+01
 2.792500E+02  2.731034E+01  2.731348E+01
 2.795000E+02  2.728194E+01  2.728508E+01
 2.797500E+02  2.725353E+01  2.725667E+01
 2.800000E+02  2.722510E+01  2.722824E+01
 2.802500E+02  2.719666E+01  2.719980E+01
 2.805000E+02  2.716820E+01  2.717134E+01
 2.807500E+02  2.713973E+01  2.714287E+01
 2.810000E+02  2.711125E+01  2.711439E+01
 2.812500E+02  2.708276E+01  2.708590E+01
 2.815000E+02  2.705425E+01  2.705739E+01
 2.817500E+02  2.702572E+01  2.702886E+01
 2.820000E+02  2.699719E+01  2.700033E+01
 2.822500E+02  2.696864E+01  2.697178E+01
 2.825000E+02  2.694007E+01  2.694321E+01
 2.827500E+02  2.691149E+01  2.691463E+01
 2.830000E+02  2.688290E+01  2.688604E+01
 2.832500E+02  2.685430E+01  2.685744E+01
 2.835000E+02  2.682568E+01  2.682882E+01
 2.837500E+02  2.679705E+01  2.680019E+01
 2.840000E+02  2.676840E+01  2.677154E+01
 2.842500E+02  2.673974E+01  2.674289E+01
 2.845000E+02  2.671107E+01  2.671421E+01
 2.847500E+02  2.668239E+01  2.668553E+01
 2.850000E+02  2.665369E+01  2.665683E+01
 2.852500E+02  2.662498E+01  2.662812E+01
 2.855000E+02  2.659625E+01  2.659939E+01
 2.857500E+02  2.656751E+01  2.657065E+01
 2.860000E+02  2.653876E+01  2.654190E+01
 2.862500E+02  2.650999E+01  2.651313E+01
 2.865000E+02  2.648121E+01  2.648435E+01
 2.867500E+02  2.645242E+01  2.645556E+01
 2.870000E+02  2.642361E+01  2.642676E+01
 2.872500E+02  2.639479E+01  2.639794E+01
 2.875000E+02  2.636596E+01  2.636910E+01
 2.877500E+02  2.633711E+01  2.634026E+01
 2.880000E+02  2.630825E+01  2.631140E+01
 2.882500E+02  2.627938E+01  2.628252E+01
 2.885000E+02  2.625049E+01  2.625364E+01
 2.887500E+02  2.622160E+01  2.622474E+01
 2.890000E+02  2.619268E+01  2.619583E+01
 2.892500E+02  2.616376E+01  2.616690E+01
 2.895000E+02  2.613482E+01  2.613796E+01
 2.897500E+02  2.610586E+01  2.610901E+01
 2.900000E+02  2.607690E+01  2.608004E+01
 2.902500E+02  2.604792E+01  2.605106E+01
 2.905000E+02  2.601893E+01  2.602207E+01
 2.907500E+02  2.598992E+01  2.599306E+01
 2.910000E+02  2.596090E+01  2.596405E+01
 2.912500E+02  2.593187E+01  2.593501E+01
 2.915000E+02  2.590282E+01  2.590597E+01
 2.917500E+02  2.587376E+01  2.587691E+01
 2.920000E+02  2.584469E+01  2.584784E+01
 2.922500E+02  2.581561E+01  2.581875E+01
 2.925000E+02  2.578651E+01  2.578965E+01
 2.927500E+02  2.575740E+01  2.576054E+01
 2.930000E+02  2.572827E+01  2.573142E+01
 2.932500E+02  2.569913E+01  2.570228E+01
 2.935000E+02  2.566998E+01  2.567313E+01
 2.937500E+02  2.564082E+01  2.564397E+01
 2.940000E+02  2.561164E+01  2.561479E+01
 2.942500E+02  2.558245E+01  2.558560E+01
 2.945000E+02  2.555325E+01  2.555639E+01
 2.947500E+02  2.552403E+01  2.552718E+01
 2.950000E+02  2.549480E+01  2.549795E+01
 2.952500E+02  2.546556E+01  2.546870E+01
 2.955000E+02  2.543630E+01  2.543945E+01
 2.957500E+02  2.540703E+01  2.541018E+01
 2.960000E+02  2.537775E+01  2.538090E+01
 2.962500E+02  2.534845E+01  2.535160E+01
 2.965000E+02  2.531915E+01  2.532229E+01
 2.967500E+02  2.528982E+01  2.529297E+01
 2.970000E+02  2.526049E+01  2.526364E+01
