#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.500000E+02  5.725388E+01  5.725701E+01  1.068715E+02
 2.502500E+02  5.726893E+01  5.727205E+01  1.069317E+02
 2.505000E+02  5.728398E+01  5.728710E+01  1.069918E+02
 2.507500E+02  5.729903E+01  5.730215E+01  1.070519E+02
 2.510000E+02  5.731408E+01  5.731721E+01  1.071119E+02
 2.512500E+02  5.732914E+01  5.733226E+01  1.071718E+02
 2.515000E+02  5.734420E+01  5.734732E+01  1.072317E+02
 2.517500E+02  5.735926E+01  5.736238E+01  1.072916E+02
 2.520000E+02  5.737432E+01  5.737745E+01  1.073514E+02
 2.522500E+02  5.738939E+01  5.739251E+01  1.074111E+02
 2.525000E+02  5.740445E+01  5.740758E+01  1.074708E+02
 2.527500E+02  5.741952E+01  5.742265E+01  1.075305E+02
 2.530000E+02  5.743459E+01  5.743772E+01  1.075901E+02
 2.532500E+02  5.744967E+01  5.745279E+01  1.076496E+02
 2.535000E+02  5.746474E+01  5.746787E+01  1.077091E+02
 2.537500E+02  5.747982E+01  5.748294E+01  1.077686E+02
 2.540000E+02  5.749490E+01  5.749802E+01  1.078280E+02
 2.542500E+02  5.750998E+01  5.751310E+01  1.078873E+02
 2.545000E+02  5.752506E+01  5.752818E+01  1.079466E+02
 2.547500E+02  5.754014E+01  5.754327E+01  1.080058E+02
 2.550000E+02  5.755523E+01  5.755835E+01  1.080650E+02
 2.552500E+02  5.757031E+01  5.757344E+01  1.081242E+02
 2.555000E+02  5.758540E+01  5.758853E+01  1.081833E+02
 2.557500E+02  5.760049E+01  5.760362E+01  1.082423E+02
 2.560000E+02  5.761559E+01  5.761871E+01  1.083013E+02
 2.562500E+02  5.763068E+01  5.763381E+01  1.083602E+02
 2.565000E+02  5.764578E+01  5.764890E+01  1.084191E+02
 2.567500E+02  5.766087E+01  5.766400E+01  1.084779E+02
 2.570000E+02  5.767597E+01  5.767910E+01  1.085367E+02
 2.572500E+02  5.769108E+01  5.769420E+01  1.085954E+02
 2.575000E+02  5.770618E+01  5.770931E+01  1.086541E+02
 2.577500E+02  5.772128E+01  5.772441E+01  1.087127E+02
 2.580000E+02  5.773639E+01  5.773952E+01  1.087713E+02
 2.582500E+02  5.775150E+01  5.775462E+01  1.088299E+02
 2.585000E+02  5.776661E+01  5.776973E+01  1.088883E+02
 2.587500E+02  5.778172E+01  5.778485E+01  1.089468E+02
 2.590000E+02  5.779683E+01  5.779996E+01  1.090051E+02
 2.592500E+02  5.781194E+01  5.781507E+01  1.090635E+02
 2.595000E+02  5.782706E+01  5.783019E+01  1.091217E+02
 2.597500E+02  5.784218E+01  5.784531E+01  1.091800E+02
 2.600000E+02  5.785730E+01  5.786043E+01  1.092382E+02
 2.602500E+02  5.787242E+01  5.787555E+01  1.092963E+02
 2.605000E+02  5.788754E+01  5.789067E+01  1.093544E+02
 2.607500E+02  5.790266E+01  5.790579E+01  1.094124E+02
 2.610000E+02  5.791779E+01  5.792092E+01  1.094704E+02
 2.612500E+02  5.793292E+01  5.793604E+01  1.095283E+02
 2.615000E+02  5.794804E+01  5.795117E+01  1.095862E+02
 2.617500E+02  5.796317E+01  5.796630E+01  1.096440E+02
 2.620000E+02  5.797831E+01  5.798144E+01  1.097018E+02
 2.622500E+02  5.799344E+01  5.799657E+01  1.097595E+02
 2.625000E+02  5.800857E+01  5.801170E+01  1.098172E+02
 2.627500E+02  5.802371E+01  5.802684E+01  1.098749E+02
 2.630000E+02  5.803885E+01  5.804198E+01  1.099324E+02
 2.632500E+02  5.805399E+01  5.805712E+01  1.099900E+02
 2.635000E+02  5.806913E+01  5.807226E+01  1.100475E+02
 2.637500E+02  5.808427E+01  5.808740E+01  1.101049E+02
 2.640000E+02  5.809941E+01  5.810254E+01  1.101623E+02
 2.642500E+02  5.811456E+01  5.811769E+01  1.102196E+02
 2.645000E+02  5.812971E+01  5.813284E+01  1.102769E+02
 2.647500E+02  5.814486E+01  5.814799E+01  1.103342E+02
 2.650000E+02  5.816001E+01  5.816314E+01  1.103914E+02
 2.652500E+02  5.817516E+01  5.817829E+01  1.104485E+02
 2.655000E+02  5.819031E+01  5.819344E+01  1.105056E+02
 2.657500E+02  5.820547E+01  5.820860E+01  1.105627E+02
 2.660000E+02  5.822062E+01  5.822375E+01  1.106197E+02
 2.662500E+02  5.823578E+01  5.823891E+01  1.106766E+02
 2.665000E+02  5.825094E+01  5.825407E+01  1.107336E+02
 2.667500E+02  5.826610E+01  5.826923E+01  1.107904E+02
 2.670000E+02  5.828126E+01  5.828439E+01  1.108472E+02
 2.672500E+02  5.829643E+01  5.829956E+01  1.109040E+02
 2.675000E+02  5.831159E+01  5.831472E+01  1.109607E+02
 2.677500E+02  5.832676E+01  5.832989E+01  1.110174E+02
 2.680000E+02  5.834193E+01  5.834506E+01  1.110740E+02
 2.682500E+02  5.835710E+01  5.836023E+01  1.111306E+02
 2.685000E+02  5.837227E+01  5.837540E+01  1.111871E+02
 2.687500E+02  5.838745E+01  5.839058E+01  1.112436E+02
 2.690000E+02  5.840262E+01  5.840575E+01  1.113001E+02
 2.692500E+02  5.841780E+01  5.842093E+01  1.113565E+02
 2.695000E+02  5.843298E+01  5.843611E+01  1.114128E+02
 2.697500E+02  5.844816E+01  5.845129E+01  1.114691E+02
 2.700000E+02  5.846334E+01  5.846647E+01  1.115254E+02
 2.702500E+02  5.847852E+01  5.848166E+01  1.115816E+02
 2.705000E+02  5.849371E+01  5.849684E+01  1.116378E+02
 2.707500E+02  5.850890E+01  5.851203E+01  1.116939E+02
 2.710000E+02  5.852409E+01  5.852722E+01  1.117500E+02
 2.712500E+02  5.853928E+01  5.854241E+01  1.118060E+02
 2.715000E+02  5.855447E+01  5.855761E+01  1.118620E+02
 2.717500E+02  5.856967E+01  5.857280E+01  1.119179E+02
 2.720000E+02  5.858486E+01  5.858800E+01  1.119738E+02
 2.722500E+02  5.860006E+01  5.860319E+01  1.120297E+02
 2.725000E+02  5.861526E+01  5.861839E+01  1.120855E+02
 2.727500E+02  5.863046E+01  5.863360E+01  1.121412E+02
 2.730000E+02  5.864566E+01  5.864880E+01  1.121969E+02
 2.732500E+02  5.866087E+01  5.866401E+01  1.122526E+02
 2.735000E+02  5.867608E+01  5.867921E+01  1.123082E+02
 2.737500E+02  5.869129E+01  5.869442E+01  1.123638E+02
 2.740000E+02  5.870650E+01  5.870963E+01  1.124194E+02
 2.742500E+02  5.872171E+01  5.872485E+01  1.124749E+02
 2.745000E+02  5.873693E+01  5.874006E+01  1.125303E+02
 2.747500E+02  5.875214E+01  5.875528E+01  1.125857E+02
 2.750000E+02  5.876736E+01  5.877050E+01  1.126411E+02
 2.752500E+02  5.878258E+01  5.878572E+01  1.126964E+02
 2.755000E+02  5.879781E+01  5.880094E+01  1.127517E+02
 2.757500E+02  5.881303E+01  5.881617E+01  1.128069E+02
 2.760000E+02  5.882826E+01  5.883140E+01  1.128621E+02
 2.762500E+02  5.884349E+01  5.884662E+01  1.129173E+02
