#         T/K            w1            w2            w3            w5            d1            d2          d1w1         d1w2A         d1w2B          d1w3          d1w4          d2w1          d2w2
 2.500000E+02  5.109427E-04  6.236808E-05  2.077999E-05  4.638408E-01  5.775532E-02  1.500029E-02  1.001440E-01  1.744550E-03  3.889009E-02  9.357714E-02  1.157170E-01  1.123288E-01  4.079260E-04
 2.502500E+02  5.168789E-04  6.343091E-05  2.104718E-05  4.640545E-01  5.794130E-02  1.498380E-02  1.003960E-01  1.758500E-03  3.896899E-02  9.357158E-02  1.153715E-01  1.119456E-01  4.068593E-04
 2.505000E+02  5.228803E-04  6.451051E-05  2.131745E-05  4.642683E-01  5.812758E-02  1.496715E-02  1.006480E-01  1.772526E-03  3.904772E-02  9.356529E-02  1.150264E-01  1.115625E-01  4.057886E-04
 2.507500E+02  5.289394E-04  6.560636E-05  2.159064E-05  4.644816E-01  5.831371E-02  1.495037E-02  1.008995E-01  1.786626E-03  3.912622E-02  9.355850E-02  1.146825E-01  1.111801E-01  4.047181E-04
 2.510000E+02  5.350567E-04  6.671864E-05  2.186679E-05  4.646945E-01  5.849968E-02  1.493346E-02  1.011506E-01  1.800802E-03  3.920450E-02  9.355121E-02  1.143396E-01  1.107984E-01  4.036477E-04
 2.512500E+02  5.412325E-04  6.784759E-05  2.214591E-05  4.649068E-01  5.868548E-02  1.491642E-02  1.014011E-01  1.815052E-03  3.928256E-02  9.354342E-02  1.139979E-01  1.104174E-01  4.025775E-04
 2.515000E+02  5.474672E-04  6.899341E-05  2.242803E-05  4.651187E-01  5.887111E-02  1.489927E-02  1.016511E-01  1.829378E-03  3.936040E-02  9.353513E-02  1.136573E-01  1.100372E-01  4.015076E-04
 2.517500E+02  5.537614E-04  7.015631E-05  2.271318E-05  4.653301E-01  5.905658E-02  1.488199E-02  1.019007E-01  1.843779E-03  3.943801E-02  9.352635E-02  1.133177E-01  1.096577E-01  4.004378E-04
 2.520000E+02  5.601154E-04  7.133652E-05  2.300138E-05  4.655410E-01  5.924187E-02  1.486459E-02  1.021498E-01  1.858255E-03  3.951539E-02  9.351707E-02  1.129793E-01  1.092790E-01  3.993684E-04
 2.522500E+02  5.665296E-04  7.253426E-05  2.329266E-05  4.657514E-01  5.942699E-02  1.484707E-02  1.023983E-01  1.872807E-03  3.959255E-02  9.350731E-02  1.126419E-01  1.089010E-01  3.982993E-04
 2.525000E+02  5.730046E-04  7.374975E-05  2.358705E-05  4.659614E-01  5.961193E-02  1.482943E-02  1.026464E-01  1.887434E-03  3.966948E-02  9.349706E-02  1.123056E-01  1.085237E-01  3.972305E-04
 2.527500E+02  5.795407E-04  7.498322E-05  2.388456E-05  4.661708E-01  5.979669E-02  1.481167E-02  1.028939E-01  1.902137E-03  3.974619E-02  9.348633E-02  1.119704E-01  1.081472E-01  3.961620E-04
 2.530000E+02  5.861384E-04  7.623489E-05  2.418524E-05  4.663798E-01  5.998126E-02  1.479380E-02  1.031410E-01  1.916916E-03  3.982267E-02  9.347511E-02  1.116363E-01  1.077715E-01  3.950940E-04
