#         T/K          A/kJ          G/kJ
 2.500000E+02  2.212472E+01  2.212748E+01
 2.502500E+02  2.210063E+01  2.210339E+01
 2.505000E+02  2.207653E+01  2.207928E+01
 2.507500E+02  2.205241E+01  2.205517E+01
 2.510000E+02  2.202827E+01  2.203103E+01
 2.512500E+02  2.200413E+01  2.200689E+01
 2.515000E+02  2.197997E+01  2.198273E+01
 2.517500E+02  2.195580E+01  2.195856E+01
 2.520000E+02  2.193161E+01  2.193437E+01
 2.522500E+02  2.190741E+01  2.191017E+01
 2.525000E+02  2.188320E+01  2.188596E+01
 2.527500E+02  2.185898E+01  2.186174E+01
 2.530000E+02  2.183474E+01  2.183750E+01
 2.532500E+02  2.181049E+01  2.181325E+01
 2.535000E+02  2.178623E+01  2.178899E+01
 2.537500E+02  2.176195E+01  2.176471E+01
 2.540000E+02  2.173766E+01  2.174043E+01
 2.542500E+02  2.171336E+01  2.171612E+01
 2.545000E+02  2.168905E+01  2.169181E+01
 2.547500E+02  2.166472E+01  2.166748E+01
 2.550000E+02  2.164038E+01  2.164314E+01
 2.552500E+02  2.161603E+01  2.161879E+01
 2.555000E+02  2.159166E+01  2.159442E+01
 2.557500E+02  2.156728E+01  2.157004E+01
 2.560000E+02  2.154289E+01  2.154565E+01
 2.562500E+02  2.151848E+01  2.152124E+01
 2.565000E+02  2.149406E+01  2.149683E+01
 2.567500E+02  2.146963E+01  2.147239E+01
 2.570000E+02  2.144519E+01  2.144795E+01
 2.572500E+02  2.142073E+01  2.142349E+01
 2.575000E+02  2.139626E+01  2.139902E+01
 2.577500E+02  2.137178E+01  2.137454E+01
 2.580000E+02  2.134729E+01  2.135005E+01
 2.582500E+02  2.132278E+01  2.132554E+01
 2.585000E+02  2.129826E+01  2.130102E+01
 2.587500E+02  2.127372E+01  2.127649E+01
 2.590000E+02  2.124918E+01  2.125194E+01
 2.592500E+02  2.122462E+01  2.122738E+01
 2.595000E+02  2.120005E+01  2.120281E+01
 2.597500E+02  2.117546E+01  2.117822E+01
 2.600000E+02  2.115086E+01  2.115363E+01
 2.602500E+02  2.112625E+01  2.112902E+01
