#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.500000E+02  1.806078E+02  1.806149E+02  2.166783E+02
 2.502500E+02  1.806385E+02  1.806455E+02  2.168007E+02
 2.505000E+02  1.806691E+02  1.806762E+02  2.169232E+02
 2.507500E+02  1.806998E+02  1.807068E+02  2.170455E+02
 2.510000E+02  1.807304E+02  1.807375E+02  2.171676E+02
 2.512500E+02  1.807610E+02  1.807681E+02  2.172895E+02
 2.515000E+02  1.807916E+02  1.807987E+02  2.174112E+02
 2.517500E+02  1.808222E+02  1.808292E+02  2.175327E+02
 2.520000E+02  1.808527E+02  1.808598E+02  2.176540E+02
 2.522500E+02  1.808833E+02  1.808903E+02  2.177751E+02
 2.525000E+02  1.809138E+02  1.809208E+02  2.178959E+02
 2.527500E+02  1.809443E+02  1.809513E+02  2.180166E+02
 2.530000E+02  1.809747E+02  1.809818E+02  2.181371E+02
 2.532500E+02  1.810052E+02  1.810122E+02  2.182574E+02
 2.535000E+02  1.810356E+02  1.810427E+02  2.183775E+02
 2.537500E+02  1.810660E+02  1.810731E+02  2.184974E+02
 2.540000E+02  1.810964E+02  1.811035E+02  2.186171E+02
 2.542500E+02  1.811268E+02  1.811338E+02  2.187366E+02
 2.545000E+02  1.811571E+02  1.811642E+02  2.188559E+02
 2.547500E+02  1.811874E+02  1.811945E+02  2.189750E+02
 2.550000E+02  1.812177E+02  1.812248E+02  2.190939E+02
 2.552500E+02  1.812480E+02  1.812551E+02  2.192126E+02
 2.555000E+02  1.812783E+02  1.812854E+02  2.193312E+02
 2.557500E+02  1.813085E+02  1.813156E+02  2.194495E+02
 2.560000E+02  1.813388E+02  1.813458E+02  2.195676E+02
 2.562500E+02  1.813690E+02  1.813760E+02  2.196855E+02
 2.565000E+02  1.813991E+02  1.814062E+02  2.198033E+02
 2.567500E+02  1.814293E+02  1.814364E+02  2.199208E+02
 2.570000E+02  1.814595E+02  1.814665E+02  2.200382E+02
 2.572500E+02  1.814896E+02  1.814967E+02  2.201553E+02
 2.575000E+02  1.815197E+02  1.815268E+02  2.202723E+02
 2.577500E+02  1.815498E+02  1.815568E+02  2.203890E+02
 2.580000E+02  1.815798E+02  1.815869E+02  2.205056E+02
 2.582500E+02  1.816099E+02  1.816169E+02  2.206220E+02
 2.585000E+02  1.816399E+02  1.816470E+02  2.207382E+02
 2.587500E+02  1.816699E+02  1.816770E+02  2.208542E+02
 2.590000E+02  1.816999E+02  1.817070E+02  2.209700E+02
 2.592500E+02  1.817298E+02  1.817369E+02  2.210856E+02
 2.595000E+02  1.817598E+02  1.817669E+02  2.212011E+02
