#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.500000E+02  7.619649E+01  7.619975E+01
 2.502500E+02  7.623295E+01  7.623622E+01
 2.505000E+02  7.626933E+01  7.627260E+01
 2.507500E+02  7.630575E+01  7.630902E+01
 2.510000E+02  7.634221E+01  7.634548E+01
 2.512500E+02  7.637871E+01  7.638198E+01
 2.515000E+02  7.641524E+01  7.641851E+01
 2.517500E+02  7.645181E+01  7.645509E+01
 2.520000E+02  7.648842E+01  7.649170E+01
 2.522500E+02  7.652507E+01  7.652835E+01
 2.525000E+02  7.656176E+01  7.656503E+01
 2.527500E+02  7.659849E+01  7.660176E+01
 2.530000E+02  7.663525E+01  7.663852E+01
 2.532500E+02  7.667206E+01  7.667533E+01
 2.535000E+02  7.670890E+01  7.671217E+01
 2.537500E+02  7.674578E+01  7.674905E+01
 2.540000E+02  7.678270E+01  7.678597E+01
 2.542500E+02  7.681966E+01  7.682293E+01
 2.545000E+02  7.685666E+01  7.685993E+01
 2.547500E+02  7.689369E+01  7.689696E+01
 2.550000E+02  7.693077E+01  7.693404E+01
 2.552500E+02  7.696789E+01  7.697115E+01
 2.555000E+02  7.700504E+01  7.700831E+01
 2.557500E+02  7.704223E+01  7.704550E+01
 2.560000E+02  7.707947E+01  7.708273E+01
 2.562500E+02  7.711674E+01  7.712001E+01
 2.565000E+02  7.715405E+01  7.715732E+01
 2.567500E+02  7.719140E+01  7.719467E+01
 2.570000E+02  7.722879E+01  7.723206E+01
 2.572500E+02  7.726622E+01  7.726948E+01
 2.575000E+02  7.730369E+01  7.730695E+01
 2.577500E+02  7.734120E+01  7.734446E+01
 2.580000E+02  7.737874E+01  7.738201E+01
 2.582500E+02  7.741633E+01  7.741959E+01
 2.585000E+02  7.745395E+01  7.745722E+01
 2.587500E+02  7.749162E+01  7.749488E+01
 2.590000E+02  7.752932E+01  7.753259E+01
 2.592500E+02  7.756707E+01  7.757033E+01
 2.595000E+02  7.760485E+01  7.760811E+01
 2.597500E+02  7.764267E+01  7.764593E+01
 2.600000E+02  7.768053E+01  7.768379E+01
 2.602500E+02  7.771844E+01  7.772169E+01
 2.605000E+02  7.775638E+01  7.775963E+01
 2.607500E+02  7.779436E+01  7.779761E+01
 2.610000E+02  7.783237E+01  7.783563E+01
 2.612500E+02  7.787043E+01  7.787369E+01
 2.615000E+02  7.790853E+01  7.791178E+01
 2.617500E+02  7.794667E+01  7.794992E+01
 2.620000E+02  7.798484E+01  7.798809E+01
 2.622500E+02  7.802306E+01  7.802631E+01
 2.625000E+02  7.806131E+01  7.806456E+01
 2.627500E+02  7.809960E+01  7.810285E+01
 2.630000E+02  7.813794E+01  7.814119E+01
 2.632500E+02  7.817631E+01  7.817955E+01
 2.635000E+02  7.821472E+01  7.821796E+01
 2.637500E+02  7.825316E+01  7.825641E+01
 2.640000E+02  7.829165E+01  7.829490E+01
 2.642500E+02  7.833018E+01  7.833342E+01
 2.645000E+02  7.836874E+01  7.837199E+01
 2.647500E+02  7.840735E+01  7.841059E+01
 2.650000E+02  7.844599E+01  7.844923E+01
 2.652500E+02  7.848467E+01  7.848791E+01
 2.655000E+02  7.852339E+01  7.852663E+01
 2.657500E+02  7.856215E+01  7.856539E+01
 2.660000E+02  7.860094E+01  7.860418E+01
 2.662500E+02  7.863978E+01  7.864302E+01
 2.665000E+02  7.867865E+01  7.868189E+01
 2.667500E+02  7.871756E+01  7.872080E+01
 2.670000E+02  7.875651E+01  7.875975E+01
