#         T/K          A/kJ          G/kJ
 2.500000E+02  1.264383E+02  1.264453E+02
 2.502500E+02  1.263841E+02  1.263911E+02
 2.505000E+02  1.263299E+02  1.263369E+02
 2.507500E+02  1.262756E+02  1.262827E+02
 2.510000E+02  1.262213E+02  1.262284E+02
 2.512500E+02  1.261670E+02  1.261741E+02
 2.515000E+02  1.261127E+02  1.261198E+02
 2.517500E+02  1.260583E+02  1.260654E+02
 2.520000E+02  1.260039E+02  1.260110E+02
 2.522500E+02  1.259495E+02  1.259566E+02
 2.525000E+02  1.258950E+02  1.259021E+02
 2.527500E+02  1.258405E+02  1.258476E+02
 2.530000E+02  1.257860E+02  1.257931E+02
 2.532500E+02  1.257315E+02  1.257385E+02
 2.535000E+02  1.256769E+02  1.256840E+02
 2.537500E+02  1.256223E+02  1.256294E+02
 2.540000E+02  1.255676E+02  1.255747E+02
 2.542500E+02  1.255130E+02  1.255201E+02
 2.545000E+02  1.254583E+02  1.254654E+02
 2.547500E+02  1.254035E+02  1.254106E+02
 2.550000E+02  1.253488E+02  1.253559E+02
 2.552500E+02  1.252940E+02  1.253011E+02
 2.555000E+02  1.252392E+02  1.252463E+02
 2.557500E+02  1.251843E+02  1.251914E+02
 2.560000E+02  1.251295E+02  1.251365E+02
 2.562500E+02  1.250745E+02  1.250816E+02
 2.565000E+02  1.250196E+02  1.250267E+02
 2.567500E+02  1.249646E+02  1.249717E+02
 2.570000E+02  1.249096E+02  1.249167E+02
 2.572500E+02  1.248546E+02  1.248617E+02
 2.575000E+02  1.247996E+02  1.248067E+02
 2.577500E+02  1.247445E+02  1.247516E+02
 2.580000E+02  1.246894E+02  1.246965E+02
 2.582500E+02  1.246342E+02  1.246413E+02
 2.585000E+02  1.245791E+02  1.245861E+02
 2.587500E+02  1.245239E+02  1.245309E+02
 2.590000E+02  1.244686E+02  1.244757E+02
 2.592500E+02  1.244134E+02  1.244205E+02
 2.595000E+02  1.243581E+02  1.243652E+02
 2.597500E+02  1.243028E+02  1.243099E+02
 2.600000E+02  1.242474E+02  1.242545E+02
 2.602500E+02  1.241921E+02  1.241991E+02
 2.605000E+02  1.241367E+02  1.241437E+02
 2.607500E+02  1.240812E+02  1.240883E+02
 2.610000E+02  1.240258E+02  1.240329E+02
 2.612500E+02  1.239703E+02  1.239774E+02
 2.615000E+02  1.239148E+02  1.239219E+02
 2.617500E+02  1.238592E+02  1.238663E+02
 2.620000E+02  1.238036E+02  1.238107E+02
 2.622500E+02  1.237480E+02  1.237551E+02
 2.625000E+02  1.236924E+02  1.236995E+02
 2.627500E+02  1.236368E+02  1.236439E+02
 2.630000E+02  1.235811E+02  1.235882E+02
 2.632500E+02  1.235254E+02  1.235325E+02
 2.635000E+02  1.234696E+02  1.234767E+02
 2.637500E+02  1.234138E+02  1.234209E+02
 2.640000E+02  1.233580E+02  1.233651E+02
 2.642500E+02  1.233022E+02  1.233093E+02
 2.645000E+02  1.232464E+02  1.232535E+02
 2.647500E+02  1.231905E+02  1.231976E+02
 2.650000E+02  1.231346E+02  1.231417E+02
 2.652500E+02  1.230786E+02  1.230857E+02
 2.655000E+02  1.230227E+02  1.230298E+02
 2.657500E+02  1.229667E+02  1.229738E+02
 2.660000E+02  1.229106E+02  1.229178E+02
 2.662500E+02  1.228546E+02  1.228617E+02
 2.665000E+02  1.227985E+02  1.228056E+02
 2.667500E+02  1.227424E+02  1.227495E+02
 2.670000E+02  1.226863E+02  1.226934E+02
 2.672500E+02  1.226301E+02  1.226372E+02
 2.675000E+02  1.225739E+02  1.225811E+02
