#         T/K          A/kJ          G/kJ
 2.500000E+02  2.801110E+00  2.802939E+00
 2.502500E+02  2.784152E+00  2.785981E+00
 2.505000E+02  2.767185E+00  2.769014E+00
 2.507500E+02  2.750211E+00  2.752040E+00
 2.510000E+02  2.733228E+00  2.735057E+00
 2.512500E+02  2.716237E+00  2.718066E+00
 2.515000E+02  2.699238E+00  2.701067E+00
 2.517500E+02  2.682230E+00  2.684059E+00
 2.520000E+02  2.665215E+00  2.667044E+00
 2.522500E+02  2.648191E+00  2.650020E+00
 2.525000E+02  2.631159E+00  2.632988E+00
 2.527500E+02  2.614119E+00  2.615949E+00
 2.530000E+02  2.597071E+00  2.598901E+00
 2.532500E+02  2.580015E+00  2.581844E+00
 2.535000E+02  2.562951E+00  2.564780E+00
 2.537500E+02  2.545878E+00  2.547708E+00
 2.540000E+02  2.528797E+00  2.530627E+00
 2.542500E+02  2.511709E+00  2.513538E+00
 2.545000E+02  2.494612E+00  2.496441E+00
 2.547500E+02  2.477507E+00  2.479336E+00
 2.550000E+02  2.460394E+00  2.462223E+00
 2.552500E+02  2.443272E+00  2.445102E+00
 2.555000E+02  2.426143E+00  2.427973E+00
 2.557500E+02  2.409006E+00  2.410835E+00
 2.560000E+02  2.391860E+00  2.393690E+00
 2.562500E+02  2.374706E+00  2.376536E+00
 2.565000E+02  2.357545E+00  2.359375E+00
 2.567500E+02  2.340375E+00  2.342205E+00
 2.570000E+02  2.323197E+00  2.325027E+00
 2.572500E+02  2.306011E+00  2.307841E+00
 2.575000E+02  2.288817E+00  2.290647E+00
 2.577500E+02  2.271615E+00  2.273445E+00
 2.580000E+02  2.254404E+00  2.256235E+00
 2.582500E+02  2.237186E+00  2.239016E+00
 2.585000E+02  2.219960E+00  2.221790E+00
 2.587500E+02  2.202725E+00  2.204555E+00
 2.590000E+02  2.185483E+00  2.187313E+00
 2.592500E+02  2.168232E+00  2.170062E+00
 2.595000E+02  2.150973E+00  2.152804E+00
 2.597500E+02  2.133707E+00  2.135537E+00
 2.600000E+02  2.116432E+00  2.118262E+00
 2.602500E+02  2.099149E+00  2.100980E+00
 2.605000E+02  2.081858E+00  2.083689E+00
 2.607500E+02  2.064559E+00  2.066390E+00
 2.610000E+02  2.047252E+00  2.049083E+00
