#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.500000E+02  3.055082E+01  3.055098E+01
 2.502500E+02  3.056613E+01  3.056629E+01
 2.505000E+02  3.058142E+01  3.058158E+01
 2.507500E+02  3.059670E+01  3.059686E+01
 2.510000E+02  3.061195E+01  3.061212E+01
 2.512500E+02  3.062720E+01  3.062736E+01
 2.515000E+02  3.064242E+01  3.064258E+01
 2.517500E+02  3.065763E+01  3.065779E+01
 2.520000E+02  3.067282E+01  3.067298E+01
 2.522500E+02  3.068799E+01  3.068815E+01
 2.525000E+02  3.070315E+01  3.070331E+01
 2.527500E+02  3.071829E+01  3.071845E+01
 2.530000E+02  3.073341E+01  3.073357E+01
 2.532500E+02  3.074852E+01  3.074868E+01
 2.535000E+02  3.076361E+01  3.076377E+01
 2.537500E+02  3.077868E+01  3.077884E+01
 2.540000E+02  3.079374E+01  3.079390E+01
 2.542500E+02  3.080878E+01  3.080894E+01
 2.545000E+02  3.082380E+01  3.082396E+01
 2.547500E+02  3.083881E+01  3.083897E+01
 2.550000E+02  3.085380E+01  3.085396E+01
 2.552500E+02  3.086877E+01  3.086893E+01
 2.555000E+02  3.088373E+01  3.088389E+01
 2.557500E+02  3.089867E+01  3.089883E+01
 2.560000E+02  3.091359E+01  3.091375E+01
 2.562500E+02  3.092850E+01  3.092866E+01
 2.565000E+02  3.094339E+01  3.094355E+01
 2.567500E+02  3.095827E+01  3.095843E+01
 2.570000E+02  3.097312E+01  3.097329E+01
 2.572500E+02  3.098797E+01  3.098813E+01
 2.575000E+02  3.100279E+01  3.100296E+01
 2.577500E+02  3.101760E+01  3.101777E+01
 2.580000E+02  3.103240E+01  3.103256E+01
 2.582500E+02  3.104718E+01  3.104734E+01
 2.585000E+02  3.106194E+01  3.106210E+01
 2.587500E+02  3.107668E+01  3.107685E+01
 2.590000E+02  3.109141E+01  3.109158E+01
 2.592500E+02  3.110613E+01  3.110629E+01
 2.595000E+02  3.112082E+01  3.112099E+01
 2.597500E+02  3.113551E+01  3.113567E+01
 2.600000E+02  3.115017E+01  3.115033E+01
 2.602500E+02  3.116482E+01  3.116498E+01
 2.605000E+02  3.117945E+01  3.117962E+01
 2.607500E+02  3.119407E+01  3.119424E+01
 2.610000E+02  3.120867E+01  3.120884E+01
 2.612500E+02  3.122326E+01  3.122342E+01
 2.615000E+02  3.123783E+01  3.123800E+01
 2.617500E+02  3.125239E+01  3.125255E+01
 2.620000E+02  3.126692E+01  3.126709E+01
 2.622500E+02  3.128145E+01  3.128161E+01
 2.625000E+02  3.129596E+01  3.129612E+01
 2.627500E+02  3.131045E+01  3.131061E+01
 2.630000E+02  3.132492E+01  3.132509E+01
 2.632500E+02  3.133938E+01  3.133955E+01
 2.635000E+02  3.135383E+01  3.135399E+01
 2.637500E+02  3.136826E+01  3.136842E+01
 2.640000E+02  3.138267E+01  3.138284E+01
 2.642500E+02  3.139707E+01  3.139724E+01
 2.645000E+02  3.141146E+01  3.141162E+01
 2.647500E+02  3.142582E+01  3.142599E+01
 2.650000E+02  3.144018E+01  3.144034E+01
 2.652500E+02  3.145451E+01  3.145468E+01
 2.655000E+02  3.146883E+01  3.146900E+01
 2.657500E+02  3.148314E+01  3.148331E+01
 2.660000E+02  3.149743E+01  3.149760E+01
 2.662500E+02  3.151171E+01  3.151187E+01
 2.665000E+02  3.152597E+01  3.152613E+01
 2.667500E+02  3.154021E+01  3.154038E+01
 2.670000E+02  3.155444E+01  3.155461E+01
 2.672500E+02  3.156866E+01  3.156882E+01
 2.675000E+02  3.158286E+01  3.158302E+01
 2.677500E+02  3.159704E+01  3.159721E+01
 2.680000E+02  3.161121E+01  3.161138E+01
 2.682500E+02  3.162537E+01  3.162553E+01
 2.685000E+02  3.163950E+01  3.163967E+01
 2.687500E+02  3.165363E+01  3.165380E+01
 2.690000E+02  3.166774E+01  3.166790E+01
 2.692500E+02  3.168183E+01  3.168200E+01
 2.695000E+02  3.169591E+01  3.169608E+01
 2.697500E+02  3.170998E+01  3.171014E+01
 2.700000E+02  3.172403E+01  3.172419E+01
 2.702500E+02  3.173806E+01  3.173823E+01
 2.705000E+02  3.175208E+01  3.175225E+01
 2.707500E+02  3.176609E+01  3.176625E+01
 2.710000E+02  3.178008E+01  3.178024E+01
 2.712500E+02  3.179405E+01  3.179422E+01
 2.715000E+02  3.180801E+01  3.180818E+01
 2.717500E+02  3.182196E+01  3.182212E+01
 2.720000E+02  3.183589E+01  3.183606E+01
 2.722500E+02  3.184980E+01  3.184997E+01
 2.725000E+02  3.186371E+01  3.186387E+01
 2.727500E+02  3.187759E+01  3.187776E+01
 2.730000E+02  3.189147E+01  3.189163E+01
 2.732500E+02  3.190532E+01  3.190549E+01
 2.735000E+02  3.191917E+01  3.191933E+01
 2.737500E+02  3.193300E+01  3.193316E+01
 2.740000E+02  3.194681E+01  3.194698E+01
 2.742500E+02  3.196061E+01  3.196078E+01
 2.745000E+02  3.197440E+01  3.197456E+01
 2.747500E+02  3.198817E+01  3.198833E+01
 2.750000E+02  3.200192E+01  3.200209E+01
 2.752500E+02  3.201566E+01  3.201583E+01
 2.755000E+02  3.202939E+01  3.202956E+01
 2.757500E+02  3.204310E+01  3.204327E+01
 2.760000E+02  3.205680E+01  3.205697E+01
 2.762500E+02  3.207049E+01  3.207066E+01
 2.765000E+02  3.208416E+01  3.208433E+01
 2.767500E+02  3.209781E+01  3.209798E+01
 2.770000E+02  3.211146E+01  3.211162E+01
 2.772500E+02  3.212508E+01  3.212525E+01
 2.775000E+02  3.213870E+01  3.213886E+01
 2.777500E+02  3.215229E+01  3.215246E+01
 2.780000E+02  3.216588E+01  3.216605E+01
 2.782500E+02  3.217945E+01  3.217962E+01
 2.785000E+02  3.219301E+01  3.219318E+01
 2.787500E+02  3.220655E+01  3.220672E+01
 2.790000E+02  3.222008E+01  3.222025E+01
 2.792500E+02  3.223359E+01  3.223376E+01
 2.795000E+02  3.224709E+01  3.224726E+01
 2.797500E+02  3.226058E+01  3.226075E+01
 2.800000E+02  3.227405E+01  3.227422E+01
 2.802500E+02  3.228751E+01  3.228768E+01
 2.805000E+02  3.230095E+01  3.230112E+01
 2.807500E+02  3.231438E+01  3.231455E+01
 2.810000E+02  3.232780E+01  3.232797E+01
 2.812500E+02  3.234120E+01  3.234137E+01
 2.815000E+02  3.235459E+01  3.235476E+01
 2.817500E+02  3.236796E+01  3.236813E+01
 2.820000E+02  3.238132E+01  3.238149E+01
 2.822500E+02  3.239467E+01  3.239484E+01
 2.825000E+02  3.240800E+01  3.240817E+01
 2.827500E+02  3.242132E+01  3.242149E+01
 2.830000E+02  3.243463E+01  3.243480E+01
 2.832500E+02  3.244792E+01  3.244809E+01
 2.835000E+02  3.246120E+01  3.246137E+01
 2.837500E+02  3.247446E+01  3.247463E+01
 2.840000E+02  3.248771E+01  3.248788E+01
 2.842500E+02  3.250095E+01  3.250112E+01
 2.845000E+02  3.251417E+01  3.251434E+01
 2.847500E+02  3.252738E+01  3.252755E+01
 2.850000E+02  3.254057E+01  3.254075E+01
 2.852500E+02  3.255376E+01  3.255393E+01
 2.855000E+02  3.256693E+01  3.256710E+01
 2.857500E+02  3.258008E+01  3.258025E+01
 2.860000E+02  3.259322E+01  3.259339E+01
 2.862500E+02  3.260635E+01  3.260652E+01
 2.865000E+02  3.261946E+01  3.261964E+01
 2.867500E+02  3.263256E+01  3.263274E+01
 2.870000E+02  3.264565E+01  3.264582E+01
 2.872500E+02  3.265873E+01  3.265890E+01
 2.875000E+02  3.267179E+01  3.267196E+01
 2.877500E+02  3.268483E+01  3.268501E+01
 2.880000E+02  3.269787E+01  3.269804E+01
 2.882500E+02  3.271089E+01  3.271106E+01
 2.885000E+02  3.272389E+01  3.272407E+01
 2.887500E+02  3.273689E+01  3.273706E+01
 2.890000E+02  3.274987E+01  3.275004E+01
 2.892500E+02  3.276283E+01  3.276301E+01
 2.895000E+02  3.277579E+01  3.277596E+01
 2.897500E+02  3.278873E+01  3.278890E+01
 2.900000E+02  3.280165E+01  3.280183E+01
 2.902500E+02  3.281457E+01  3.281474E+01
 2.905000E+02  3.282747E+01  3.282764E+01
 2.907500E+02  3.284036E+01  3.284053E+01
 2.910000E+02  3.285323E+01  3.285340E+01
 2.912500E+02  3.286609E+01  3.286626E+01
 2.915000E+02  3.287894E+01  3.287911E+01
 2.917500E+02  3.289177E+01  3.289195E+01
 2.920000E+02  3.290459E+01  3.290477E+01
 2.922500E+02  3.291740E+01  3.291758E+01
 2.925000E+02  3.293020E+01  3.293037E+01
 2.927500E+02  3.294298E+01  3.294315E+01
 2.930000E+02  3.295575E+01  3.295592E+01
 2.932500E+02  3.296850E+01  3.296868E+01
 2.935000E+02  3.298124E+01  3.298142E+01
 2.937500E+02  3.299397E+01  3.299415E+01
 2.940000E+02  3.300669E+01  3.300687E+01
 2.942500E+02  3.301939E+01  3.301957E+01
 2.945000E+02  3.303208E+01  3.303226E+01
 2.947500E+02  3.304476E+01  3.304494E+01
 2.950000E+02  3.305743E+01  3.305760E+01
 2.952500E+02  3.307008E+01  3.307026E+01
 2.955000E+02  3.308272E+01  3.308289E+01
 2.957500E+02  3.309534E+01  3.309552E+01
 2.960000E+02  3.310796E+01  3.310813E+01
 2.962500E+02  3.312056E+01  3.312073E+01
 2.965000E+02  3.313314E+01  3.313332E+01
 2.967500E+02  3.314572E+01  3.314589E+01
 2.970000E+02  3.315828E+01  3.315846E+01
 2.972500E+02  3.317083E+01  3.317100E+01
 2.975000E+02  3.318336E+01  3.318354E+01
 2.977500E+02  3.319589E+01  3.319606E+01
 2.980000E+02  3.320840E+01  3.320857E+01
 2.982500E+02  3.322089E+01  3.322107E+01
 2.985000E+02  3.323338E+01  3.323356E+01
 2.987500E+02  3.324585E+01  3.324603E+01
 2.990000E+02  3.325831E+01  3.325849E+01
 2.992500E+02  3.327075E+01  3.327093E+01
 2.995000E+02  3.328319E+01  3.328337E+01
 2.997500E+02  3.329561E+01  3.329579E+01
 3.000000E+02  3.330802E+01  3.330820E+01
 3.002500E+02  3.332041E+01  3.332059E+01
 3.005000E+02  3.333279E+01  3.333297E+01
 3.007500E+02  3.334517E+01  3.334535E+01
 3.010000E+02  3.335752E+01  3.335770E+01
 3.012500E+02  3.336987E+01  3.337005E+01
 3.015000E+02  3.338220E+01  3.338238E+01
 3.017500E+02  3.339452E+01  3.339470E+01
 3.020000E+02  3.340683E+01  3.340701E+01
 3.022500E+02  3.341912E+01  3.341930E+01
 3.025000E+02  3.343140E+01  3.343158E+01
 3.027500E+02  3.344367E+01  3.344385E+01
 3.030000E+02  3.345593E+01  3.345611E+01
 3.032500E+02  3.346817E+01  3.346836E+01
 3.035000E+02  3.348041E+01  3.348059E+01
 3.037500E+02  3.349262E+01  3.349281E+01
 3.040000E+02  3.350483E+01  3.350501E+01
 3.042500E+02  3.351703E+01  3.351721E+01
 3.045000E+02  3.352921E+01  3.352939E+01
 3.047500E+02  3.354138E+01  3.354156E+01
 3.050000E+02  3.355353E+01  3.355372E+01
 3.052500E+02  3.356568E+01  3.356586E+01
 3.055000E+02  3.357781E+01  3.357799E+01
 3.057500E+02  3.358993E+01  3.359011E+01
 3.060000E+02  3.360204E+01  3.360222E+01
 3.062500E+02  3.361413E+01  3.361432E+01
 3.065000E+02  3.362621E+01  3.362640E+01
 3.067500E+02  3.363828E+01  3.363847E+01
 3.070000E+02  3.365034E+01  3.365053E+01
 3.072500E+02  3.366239E+01  3.366257E+01
 3.075000E+02  3.367442E+01  3.367460E+01
 3.077500E+02  3.368644E+01  3.368663E+01
 3.080000E+02  3.369845E+01  3.369863E+01
 3.082500E+02  3.371044E+01  3.371063E+01
 3.085000E+02  3.372243E+01  3.372261E+01
 3.087500E+02  3.373440E+01  3.373458E+01
 3.090000E+02  3.374636E+01  3.374654E+01
 3.092500E+02  3.375831E+01  3.375849E+01
 3.095000E+02  3.377024E+01  3.377043E+01
