#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.500000E+02  9.228129E+01  9.228554E+01  1.387278E+02
 2.502500E+02  9.230225E+01  9.230649E+01  1.388116E+02
 2.505000E+02  9.232325E+01  9.232749E+01  1.388955E+02
 2.507500E+02  9.234425E+01  9.234849E+01  1.389792E+02
 2.510000E+02  9.236525E+01  9.236950E+01  1.390630E+02
 2.512500E+02  9.238625E+01  9.239050E+01  1.391466E+02
 2.515000E+02  9.240725E+01  9.241150E+01  1.392301E+02
 2.517500E+02  9.242826E+01  9.243250E+01  1.393136E+02
 2.520000E+02  9.244926E+01  9.245351E+01  1.393970E+02
 2.522500E+02  9.247026E+01  9.247451E+01  1.394803E+02
 2.525000E+02  9.249127E+01  9.249552E+01  1.395635E+02
 2.527500E+02  9.251227E+01  9.251652E+01  1.396467E+02
 2.530000E+02  9.253328E+01  9.253752E+01  1.397297E+02
 2.532500E+02  9.255428E+01  9.255853E+01  1.398127E+02
 2.535000E+02  9.257529E+01  9.257954E+01  1.398956E+02
 2.537500E+02  9.259629E+01  9.260054E+01  1.399784E+02
 2.540000E+02  9.261730E+01  9.262155E+01  1.400612E+02
 2.542500E+02  9.263830E+01  9.264255E+01  1.401438E+02
 2.545000E+02  9.265930E+01  9.266356E+01  1.402264E+02
 2.547500E+02  9.268031E+01  9.268456E+01  1.403089E+02
 2.550000E+02  9.270131E+01  9.270557E+01  1.403913E+02
 2.552500E+02  9.272232E+01  9.272657E+01  1.404737E+02
 2.555000E+02  9.274332E+01  9.274757E+01  1.405559E+02
 2.557500E+02  9.276432E+01  9.276858E+01  1.406381E+02
 2.560000E+02  9.278533E+01  9.278958E+01  1.407201E+02
 2.562500E+02  9.280633E+01  9.281058E+01  1.408021E+02
 2.565000E+02  9.282733E+01  9.283158E+01  1.408841E+02
 2.567500E+02  9.284833E+01  9.285259E+01  1.409659E+02
 2.570000E+02  9.286933E+01  9.287359E+01  1.410477E+02
 2.572500E+02  9.289033E+01  9.289459E+01  1.411293E+02
 2.575000E+02  9.291133E+01  9.291558E+01  1.412109E+02
 2.577500E+02  9.293233E+01  9.293658E+01  1.412924E+02
 2.580000E+02  9.295333E+01  9.295758E+01  1.413738E+02
 2.582500E+02  9.297432E+01  9.297858E+01  1.414552E+02
 2.585000E+02  9.299532E+01  9.299957E+01  1.415364E+02
 2.587500E+02  9.301631E+01  9.302057E+01  1.416176E+02
 2.590000E+02  9.303730E+01  9.304156E+01  1.416987E+02
 2.592500E+02  9.305830E+01  9.306255E+01  1.417797E+02
 2.595000E+02  9.307929E+01  9.308354E+01  1.418607E+02
 2.597500E+02  9.310028E+01  9.310453E+01  1.419415E+02
 2.600000E+02  9.312126E+01  9.312552E+01  1.420223E+02
 2.602500E+02  9.314225E+01  9.314651E+01  1.421030E+02
 2.605000E+02  9.316324E+01  9.316749E+01  1.421836E+02
 2.607500E+02  9.318422E+01  9.318848E+01  1.422641E+02
 2.610000E+02  9.320520E+01  9.320946E+01  1.423445E+02
 2.612500E+02  9.322618E+01  9.323044E+01  1.424249E+02
 2.615000E+02  9.324716E+01  9.325142E+01  1.425051E+02
 2.617500E+02  9.326814E+01  9.327240E+01  1.425853E+02
 2.620000E+02  9.328912E+01  9.329338E+01  1.426654E+02
 2.622500E+02  9.331010E+01  9.331435E+01  1.427454E+02
 2.625000E+02  9.333107E+01  9.333533E+01  1.428254E+02
 2.627500E+02  9.335204E+01  9.335630E+01  1.429052E+02
 2.630000E+02  9.337301E+01  9.337727E+01  1.429850E+02
 2.632500E+02  9.339398E+01  9.339824E+01  1.430647E+02
 2.635000E+02  9.341495E+01  9.341921E+01  1.431443E+02
 2.637500E+02  9.343591E+01  9.344017E+01  1.432238E+02
 2.640000E+02  9.345688E+01  9.346114E+01  1.433033E+02
 2.642500E+02  9.347784E+01  9.348210E+01  1.433826E+02
 2.645000E+02  9.349880E+01  9.350306E+01  1.434619E+02
 2.647500E+02  9.351976E+01  9.352402E+01  1.435411E+02
 2.650000E+02  9.354071E+01  9.354497E+01  1.436202E+02
 2.652500E+02  9.356167E+01  9.356593E+01  1.436993E+02
 2.655000E+02  9.358262E+01  9.358688E+01  1.437782E+02
 2.657500E+02  9.360357E+01  9.360783E+01  1.438571E+02
 2.660000E+02  9.362452E+01  9.362878E+01  1.439359E+02
 2.662500E+02  9.364547E+01  9.364973E+01  1.440146E+02
 2.665000E+02  9.366641E+01  9.367067E+01  1.440932E+02
 2.667500E+02  9.368735E+01  9.369162E+01  1.441718E+02
 2.670000E+02  9.370829E+01  9.371256E+01  1.442503E+02
 2.672500E+02  9.372923E+01  9.373350E+01  1.443286E+02
 2.675000E+02  9.375017E+01  9.375443E+01  1.444069E+02
 2.677500E+02  9.377110E+01  9.377537E+01  1.444852E+02
 2.680000E+02  9.379204E+01  9.379630E+01  1.445633E+02
 2.682500E+02  9.381297E+01  9.381723E+01  1.446414E+02
 2.685000E+02  9.383389E+01  9.383816E+01  1.447194E+02
 2.687500E+02  9.385482E+01  9.385909E+01  1.447973E+02
 2.690000E+02  9.387574E+01  9.388001E+01  1.448751E+02
 2.692500E+02  9.389667E+01  9.390093E+01  1.449528E+02
