#         T/K          A/kJ          G/kJ
 2.500000E+02  5.759934E+01  5.760359E+01
 2.502500E+02  5.756465E+01  5.756890E+01
 2.505000E+02  5.752994E+01  5.753418E+01
 2.507500E+02  5.749520E+01  5.749945E+01
 2.510000E+02  5.746045E+01  5.746469E+01
 2.512500E+02  5.742567E+01  5.742992E+01
 2.515000E+02  5.739087E+01  5.739512E+01
 2.517500E+02  5.735605E+01  5.736030E+01
 2.520000E+02  5.732122E+01  5.732546E+01
 2.522500E+02  5.728636E+01  5.729060E+01
 2.525000E+02  5.725147E+01  5.725572E+01
 2.527500E+02  5.721657E+01  5.722082E+01
 2.530000E+02  5.718165E+01  5.718590E+01
 2.532500E+02  5.714671E+01  5.715096E+01
 2.535000E+02  5.711174E+01  5.711599E+01
 2.537500E+02  5.707676E+01  5.708101E+01
 2.540000E+02  5.704175E+01  5.704600E+01
 2.542500E+02  5.700673E+01  5.701098E+01
 2.545000E+02  5.697168E+01  5.697593E+01
 2.547500E+02  5.693661E+01  5.694087E+01
 2.550000E+02  5.690153E+01  5.690578E+01
 2.552500E+02  5.686642E+01  5.687067E+01
 2.555000E+02  5.683129E+01  5.683554E+01
 2.557500E+02  5.679614E+01  5.680039E+01
 2.560000E+02  5.676097E+01  5.676522E+01
 2.562500E+02  5.672578E+01  5.673003E+01
 2.565000E+02  5.669057E+01  5.669482E+01
 2.567500E+02  5.665534E+01  5.665959E+01
 2.570000E+02  5.662008E+01  5.662434E+01
 2.572500E+02  5.658481E+01  5.658907E+01
 2.575000E+02  5.654952E+01  5.655377E+01
 2.577500E+02  5.651421E+01  5.651846E+01
 2.580000E+02  5.647887E+01  5.648313E+01
 2.582500E+02  5.644352E+01  5.644777E+01
 2.585000E+02  5.640814E+01  5.641240E+01
 2.587500E+02  5.637275E+01  5.637701E+01
 2.590000E+02  5.633734E+01  5.634159E+01
 2.592500E+02  5.630190E+01  5.630616E+01
 2.595000E+02  5.626644E+01  5.627070E+01
 2.597500E+02  5.623097E+01  5.623523E+01
 2.600000E+02  5.619547E+01  5.619973E+01
 2.602500E+02  5.615996E+01  5.616421E+01
 2.605000E+02  5.612442E+01  5.612868E+01
 2.607500E+02  5.608887E+01  5.609312E+01
