#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.500000E+02  5.448295E+01  5.448398E+01
 2.502500E+02  5.450949E+01  5.451052E+01
 2.505000E+02  5.453598E+01  5.453701E+01
 2.507500E+02  5.456246E+01  5.456349E+01
 2.510000E+02  5.458893E+01  5.458996E+01
 2.512500E+02  5.461538E+01  5.461642E+01
 2.515000E+02  5.464184E+01  5.464287E+01
 2.517500E+02  5.466828E+01  5.466931E+01
 2.520000E+02  5.469471E+01  5.469575E+01
 2.522500E+02  5.472114E+01  5.472217E+01
 2.525000E+02  5.474755E+01  5.474859E+01
 2.527500E+02  5.477396E+01  5.477500E+01
 2.530000E+02  5.480036E+01  5.480140E+01
 2.532500E+02  5.482676E+01  5.482780E+01
 2.535000E+02  5.485314E+01  5.485418E+01
 2.537500E+02  5.487952E+01  5.488056E+01
 2.540000E+02  5.490589E+01  5.490693E+01
 2.542500E+02  5.493225E+01  5.493329E+01
 2.545000E+02  5.495860E+01  5.495965E+01
 2.547500E+02  5.498495E+01  5.498599E+01
 2.550000E+02  5.501129E+01  5.501233E+01
 2.552500E+02  5.503762E+01  5.503867E+01
 2.555000E+02  5.506395E+01  5.506499E+01
 2.557500E+02  5.509027E+01  5.509131E+01
 2.560000E+02  5.511658E+01  5.511762E+01
 2.562500E+02  5.514288E+01  5.514393E+01
 2.565000E+02  5.516918E+01  5.517023E+01
 2.567500E+02  5.519547E+01  5.519652E+01
 2.570000E+02  5.522176E+01  5.522280E+01
 2.572500E+02  5.524803E+01  5.524908E+01
 2.575000E+02  5.527431E+01  5.527536E+01
 2.577500E+02  5.530057E+01  5.530162E+01
 2.580000E+02  5.532683E+01  5.532788E+01
 2.582500E+02  5.535309E+01  5.535414E+01
 2.585000E+02  5.537933E+01  5.538038E+01
 2.587500E+02  5.540557E+01  5.540663E+01
 2.590000E+02  5.543181E+01  5.543286E+01
 2.592500E+02  5.545804E+01  5.545909E+01
 2.595000E+02  5.548426E+01  5.548532E+01
 2.597500E+02  5.551048E+01  5.551154E+01
 2.600000E+02  5.553670E+01  5.553775E+01
 2.602500E+02  5.556290E+01  5.556396E+01
 2.605000E+02  5.558911E+01  5.559016E+01
 2.607500E+02  5.561530E+01  5.561636E+01
 2.610000E+02  5.564150E+01  5.564255E+01
 2.612500E+02  5.566768E+01  5.566874E+01
 2.615000E+02  5.569387E+01  5.569492E+01
 2.617500E+02  5.572004E+01  5.572110E+01
 2.620000E+02  5.574621E+01  5.574727E+01
 2.622500E+02  5.577238E+01  5.577344E+01
 2.625000E+02  5.579854E+01  5.579960E+01
 2.627500E+02  5.582470E+01  5.582576E+01
 2.630000E+02  5.585086E+01  5.585192E+01
 2.632500E+02  5.587700E+01  5.587806E+01
 2.635000E+02  5.590315E+01  5.590421E+01
 2.637500E+02  5.592929E+01  5.593035E+01
 2.640000E+02  5.595542E+01  5.595649E+01
 2.642500E+02  5.598156E+01  5.598262E+01
 2.645000E+02  5.600768E+01  5.600875E+01
 2.647500E+02  5.603381E+01  5.603487E+01
 2.650000E+02  5.605993E+01  5.606099E+01
 2.652500E+02  5.608604E+01  5.608710E+01
 2.655000E+02  5.611215E+01  5.611322E+01
 2.657500E+02  5.613826E+01  5.613932E+01
 2.660000E+02  5.616436E+01  5.616543E+01
 2.662500E+02  5.619046E+01  5.619153E+01
 2.665000E+02  5.621656E+01  5.621763E+01
 2.667500E+02  5.624265E+01  5.624372E+01
 2.670000E+02  5.626874E+01  5.626981E+01
 2.672500E+02  5.629483E+01  5.629589E+01
 2.675000E+02  5.632091E+01  5.632198E+01
 2.677500E+02  5.634699E+01  5.634806E+01
 2.680000E+02  5.637307E+01  5.637413E+01
 2.682500E+02  5.639914E+01  5.640020E+01
 2.685000E+02  5.642521E+01  5.642627E+01
 2.687500E+02  5.645127E+01  5.645234E+01
 2.690000E+02  5.647734E+01  5.647840E+01
 2.692500E+02  5.650340E+01  5.650446E+01
 2.695000E+02  5.652945E+01  5.653052E+01
 2.697500E+02  5.655551E+01  5.655658E+01
 2.700000E+02  5.658156E+01  5.658263E+01
 2.702500E+02  5.660761E+01  5.660868E+01
 2.705000E+02  5.663365E+01  5.663472E+01
 2.707500E+02  5.665970E+01  5.666077E+01
 2.710000E+02  5.668574E+01  5.668681E+01
 2.712500E+02  5.671177E+01  5.671284E+01
 2.715000E+02  5.673781E+01  5.673888E+01
 2.717500E+02  5.676384E+01  5.676491E+01
 2.720000E+02  5.678987E+01  5.679094E+01
